frame,filament_id,z,y,x,raw_intensity,probability
6,1,0,42,63,184.0,0.7998547554016113
6,1,0,43,63,196.0,0.6662519574165344
6,1,1,42,62,198.0,0.5688629150390625
6,1,1,42,63,200.0,0.8217349648475647
6,1,1,42,64,197.0,0.5979416966438293
6,1,1,43,63,193.0,0.6971853375434875
20,2,0,40,36,143.0,0.5009079575538635
20,2,0,40,37,158.0,0.743797242641449
20,2,1,38,37,155.0,0.5854477286338806
20,2,1,38,38,146.0,0.7578582763671875
20,2,1,39,36,158.0,0.9664349555969238
20,2,1,39,37,149.0,0.9925457835197449
20,2,1,39,38,159.0,0.907975435256958
20,2,1,40,35,154.0,0.8424856066703796
20,2,1,40,36,155.0,0.9966765642166138
20,2,1,40,37,145.0,0.9851130247116089
20,2,1,41,35,155.0,0.7284496426582336
20,2,1,41,36,167.0,0.9688934683799744
20,2,1,41,37,151.0,0.6010710000991821
20,2,2,38,37,145.0,0.9080629944801331
20,2,2,38,38,151.0,0.8781710863113403
20,2,2,39,36,150.0,0.987815260887146
20,2,2,39,37,160.0,0.9906150102615356
20,2,2,39,38,158.0,0.942582368850708
20,2,2,40,35,153.0,0.9369732141494751
20,2,2,40,36,150.0,0.996688187122345
20,2,2,40,37,158.0,0.9898239970207214
20,2,2,41,35,147.0,0.7510920763015747
20,2,2,41,36,149.0,0.9277136921882629
20,2,3,39,37,151.0,0.5205758810043335
20,2,3,40,36,150.0,0.6618995666503906
20,2,3,40,37,152.0,0.7055495381355286
22,2,1,35,37,146.0,0.7743902802467346
22,2,1,35,38,145.0,0.604583203792572
22,2,1,36,36,146.0,0.9558554887771606
22,2,1,36,37,150.0,0.9927660226821899
22,2,1,36,38,156.0,0.8764014840126038
22,2,1,37,36,156.0,0.9506493806838989
22,2,1,37,37,181.0,0.968848466873169
22,2,2,35,37,154.0,0.7401342988014221
22,2,2,35,38,153.0,0.7236260771751404
22,2,2,36,36,157.0,0.6166105270385742
22,2,2,36,37,153.0,0.9918276071548462
22,2,2,36,38,151.0,0.9638674855232239
22,2,2,37,37,157.0,0.9454443454742432
22,2,2,37,38,151.0,0.6791459321975708
32,1,0,38,71,176.0,0.9240407347679138
32,1,0,38,72,178.0,0.9939242005348206
32,1,0,38,73,188.0,0.910703182220459
32,1,0,39,70,171.0,0.8062819838523865
32,1,0,39,71,177.0,0.999991774559021
32,1,0,39,72,206.0,1.0
32,1,0,39,73,189.0,0.9999990463256836
32,1,0,39,74,185.0,0.9914037585258484
32,1,0,40,70,178.0,0.9428412914276123
32,1,0,40,71,180.0,0.9999982118606567
32,1,0,40,72,203.0,1.0
32,1,0,40,73,192.0,1.0
32,1,0,40,74,185.0,0.9995300769805908
32,1,0,41,70,168.0,0.8472620844841003
32,1,0,41,71,184.0,0.9999712705612183
32,1,0,41,72,208.0,0.9999998807907104
32,1,0,41,73,195.0,0.9999991655349731
32,1,0,41,74,181.0,0.9974072575569153
32,1,0,42,69,198.0,0.5563153624534607
32,1,0,42,70,178.0,0.7368285059928894
32,1,0,42,71,188.0,0.9810830950737
32,1,0,42,72,171.0,0.9987829327583313
32,1,0,42,73,191.0,0.9942796230316162
32,1,1,37,71,175.0,0.842598557472229
32,1,1,38,70,176.0,0.9934622049331665
32,1,1,38,71,162.0,0.9999942779541016
32,1,1,38,72,195.0,0.9999926090240479
32,1,1,38,73,158.0,0.9910725951194763
32,1,1,39,69,171.0,0.6582911610603333
32,1,1,39,70,178.0,0.9999730587005615
32,1,1,39,71,179.0,1.0
32,1,1,39,72,198.0,1.0
32,1,1,39,73,180.0,1.0
32,1,1,39,74,176.0,0.9908837676048279
32,1,1,40,69,164.0,0.6955668330192566
32,1,1,40,70,173.0,0.9999608993530273
32,1,1,40,71,188.0,1.0
32,1,1,40,72,208.0,1.0
32,1,1,40,73,188.0,1.0
32,1,1,40,74,171.0,0.9994407296180725
32,1,1,41,70,172.0,0.9949780106544495
32,1,1,41,71,194.0,0.9999996423721313
32,1,1,41,72,172.0,1.0
