frame,filament_id,z,y,x,raw_intensity,probability
3,2,0,59,64,125.0,0.9703075885772705
3,2,0,59,65,159.0,0.9996517896652222
3,2,0,59,66,132.0,0.9985501170158386
3,2,0,59,67,139.0,0.8273590207099915
3,2,0,60,63,137.0,0.7280551791191101
3,2,0,60,64,152.0,0.9999855756759644
3,2,0,60,65,165.0,1.0
3,2,0,60,66,154.0,0.9999997615814209
3,2,0,60,67,146.0,0.9985686540603638
3,2,0,60,68,138.0,0.6925749778747559
3,2,0,61,63,145.0,0.9489759802818298
3,2,0,61,64,149.0,0.9999997615814209
3,2,0,61,65,160.0,1.0
3,2,0,61,66,171.0,1.0
3,2,0,61,67,148.0,0.9998489618301392
3,2,0,61,68,152.0,0.6967979669570923
3,2,0,62,64,150.0,0.9999562501907349
3,2,0,62,65,152.0,1.0
3,2,0,62,66,174.0,0.9999997615814209
3,2,0,62,67,161.0,0.9984880685806274
3,2,0,63,64,152.0,0.8320640921592712
3,2,0,63,65,154.0,0.9987834095954895
3,2,0,63,66,151.0,0.9933416247367859
3,2,1,59,63,144.0,0.8437472581863403
3,2,1,59,64,149.0,0.9999285936355591
3,2,1,59,65,149.0,0.9999977350234985
3,2,1,59,66,145.0,0.9994574189186096
3,2,1,59,67,142.0,0.56195467710495
3,2,1,60,63,145.0,0.9880228042602539
3,2,1,60,64,164.0,1.0
3,2,1,60,65,155.0,1.0
3,2,1,60,66,149.0,0.9999998807907104
3,2,1,60,67,131.0,0.9918497800827026
3,2,1,61,63,145.0,0.9986168146133423
3,2,1,61,64,151.0,1.0
3,2,1,61,65,166.0,1.0
3,2,1,61,66,159.0,1.0
3,2,1,61,67,150.0,0.9987892508506775
3,2,1,62,63,137.0,0.740747332572937
3,2,1,62,64,154.0,0.9999939203262329
3,2,1,62,65,137.0,1.0
3,2,1,62,66,154.0,0.9999983310699463
3,2,1,62,67,140.0,0.961293637752533
3,2,1,63,65,151.0,0.9843058586120605
3,2,1,63,66,136.0,0.8360013961791992
3,2,2,59,63,144.0,0.8820474147796631
3,2,2,59,64,153.0,0.9997424483299255
3,2,2,59,65,140.0,0.999495267868042
3,2,2,59,66,142.0,0.5703729391098022
3,2,2,60,63,145.0,0.9792814254760742
3,2,2,60,64,169.0,0.9999978542327881
3,2,2,60,65,151.0,0.9999994039535522
3,2,2,60,66,147.0,0.9910489320755005
3,2,2,61,63,145.0,0.9805662631988525
3,2,2,61,64,153.0,0.9999942779541016
3,2,2,61,65,143.0,0.9999990463256836
3,2,2,61,66,136.0,0.9972353577613831
3,2,2,62,64,145.0,0.9839776158332825
3,2,2,62,65,147.0,0.9958043694496155
3,2,2,62,66,135.0,0.5271639227867126
3,2,3,59,63,147.0,0.5797610878944397
3,2,3,59,64,158.0,0.9219933152198792
3,2,3,59,65,152.0,0.7477471828460693
3,2,3,60,63,140.0,0.9344362616539001
3,2,3,60,64,152.0,0.9976047277450562
3,2,3,60,65,146.0,0.9930306077003479
3,2,3,61,63,147.0,0.7723428606987
3,2,3,61,64,148.0,0.9923215508460999
3,2,3,61,65,159.0,0.9656991958618164
4,2,0,55,67,147.0,0.7837877869606018
4,2,0,55,68,142.0,0.9986338019371033
4,2,0,55,69,131.0,0.9989232420921326
4,2,0,55,70,138.0,0.9379727244377136
4,2,0,56,67,149.0,0.9869537949562073
4,2,0,56,68,136.0,0.9999852180480957
4,2,0,56,69,156.0,0.9999990463256836
4,2,0,56,70,161.0,0.999974250793457
4,2,0,57,67,140.0,0.9964190721511841
4,2,0,57,68,153.0,0.9999971389770508
4,2,0,57,69,161.0,1.0
4,2,0,57,70,158.0,0.9999996423721313
4,2,0,58,67,148.0,0.948203444480896
4,2,0,58,68,151.0,0.999900221824646
4,2,0,58,69,166.0,0.9999980926513672
4,2,0,59,67,148.0,0.5902364253997803
4,2,0,59,68,134.0,0.9805924892425537
4,2,0,59,69,144.0,0.9977186918258667
4,2,0,60,67,152.0,0.5747365951538086
4,2,0,60,68,140.0,0.6618672013282776
4,2,1,54,68,144.0,0.8363023996353149
4,2,1,54,69,141.0,0.5397286415100098
4,2,1,55,67,145.0,0.998836100101471
4,2,1,55,68,164.0,0.9999953508377075
4,2,1,55,69,152.0,0.9999948740005493
4,2,1,55,70,143.0,0.9937487840652466
4,2,1,56,66,145.0,0.7122370004653931
4,2,1,56,67,146.0,0.9999192953109741
4,2,1,56,68,151.0,1.0
4,2,1,56,69,161.0,1.0
4,2,1,56,70,138.0,0.9999885559082031
4,2,1,57,66,152.0,0.8018536567687988
4,2,1,57,67,147.0,0.9998953342437744
4,2,1,57,68,143.0,1.0
4,2,1,57,69,137.0,1.0
4,2,1,57,70,142.0,0.9999995231628418
4,2,1,58,66,138.0,0.6462551951408386
4,2,1,58,67,161.0,0.9879398345947266
4,2,1,58,68,143.0,0.9999074935913086
4,2,1,58,69,156.0,0.9999889135360718
4,2,2,55,67,134.0,0.9885427951812744
4,2,2,55,68,143.0,0.9999313354492188
4,2,2,55,69,140.0,0.9998619556427002
4,2,2,55,70,139.0,0.8452079892158508
4,2,2,56,67,135.0,0.9995219707489014
4,2,2,56,68,161.0,0.9999992847442627
4,2,2,56,69,151.0,0.9999995231628418
4,2,2,56,70,144.0,0.994195818901062
4,2,2,57,67,142.0,0.9964639544487
4,2,2,57,68,156.0,0.9999833106994629
4,2,2,57,69,154.0,0.9999842643737793
4,2,2,57,70,142.0,0.9098520278930664
4,2,2,58,68,128.0,0.9494809508323669
4,2,2,58,69,136.0,0.8779973387718201
4,2,3,55,68,136.0,0.7187236547470093
4,2,3,55,69,147.0,0.806386411190033
4,2,3,56,68,144.0,0.9888760447502136
4,2,3,56,69,139.0,0.9938854575157166
4,2,3,57,67,148.0,0.5337932705879211
4,2,3,57,68,140.0,0.9598647952079773
4,2,3,57,69,144.0,0.9614558219909668
5,2,0,56,67,141.0,0.9588918089866638
5,2,0,56,68,151.0,0.9989835619926453
5,2,0,56,69,161.0,0.9977113008499146
5,2,0,56,70,148.0,0.8006449937820435
5,2,0,57,67,146.0,0.9971484541893005
5,2,0,57,68,173.0,0.9999587535858154
5,2,0,57,69,168.0,0.9998557567596436
5,2,0,57,70,158.0,0.9859549403190613
5,2,0,58,67,156.0,0.9895707368850708
5,2,0,58,68,142.0,0.9998051524162292
5,2,0,58,69,169.0,0.9998195767402649
5,2,0,58,70,157.0,0.9924286007881165
5,2,0,59,68,156.0,0.6955801248550415
5,2,0,59,69,145.0,0.9646542072296143
5,2,1,56,67,153.0,0.9982960820198059
5,2,1,56,68,154.0,0.9997469782829285
5,2,1,56,69,151.0,0.9947254061698914
5,2,1,57,67,162.0,0.9993084669113159
5,2,1,57,68,139.0,0.9999532699584961
5,2,1,57,69,139.0,0.99982750415802
5,2,1,57,70,126.0,0.9796618223190308
5,2,1,58,67,143.0,0.9978585839271545
5,2,1,58,68,148.0,0.9998185038566589
5,2,1,58,69,144.0,0.9997751116752625
5,2,1,58,70,143.0,0.964189887046814
5,2,2,56,67,141.0,0.7314046025276184
5,2,2,56,68,149.0,0.9358057975769043
5,2,2,57,67,152.0,0.7767043113708496
5,2,2,57,68,142.0,0.9742732048034668
