frame,filament_id,z,y,x,raw_intensity,probability
7,5,0,53,58,161.0,0.6866163611412048
7,5,0,53,59,185.0,0.5622830986976624
7,5,0,54,58,158.0,0.7987769246101379
7,5,0,54,59,158.0,0.8399972915649414
7,5,0,55,59,171.0,0.6117900609970093
7,5,0,63,59,150.0,0.6806658506393433
7,5,0,63,60,163.0,0.6868834495544434
7,5,0,63,61,179.0,0.6859892010688782
7,5,0,64,58,166.0,0.6744609475135803
7,5,0,64,59,158.0,0.715674638748169
7,5,0,64,60,150.0,0.8957109451293945
7,5,0,64,61,168.0,0.8739275932312012
7,5,0,65,60,143.0,0.6348090767860413
7,5,1,54,59,140.0,0.6153550744056702
9,5,0,58,53,147.0,0.547887921333313
9,5,0,59,52,147.0,0.5419315099716187
9,5,0,59,53,151.0,0.623820960521698
9,5,1,59,53,145.0,0.5580617785453796
9,5,1,60,54,146.0,0.5131064653396606
35,5,0,65,62,140.0,0.7161941528320312
35,5,0,66,61,163.0,0.7345256209373474
35,5,0,66,62,150.0,0.9586172103881836
35,5,0,66,63,147.0,0.6222745180130005
35,5,0,67,61,151.0,0.7241019606590271
35,5,0,67,62,157.0,0.9195248484611511
49,7,0,117,2,201.0,0.9901698231697083
49,7,0,117,3,175.0,0.9882368445396423
49,7,0,117,4,191.0,0.8328525424003601
49,7,0,118,2,188.0,0.9925030469894409
49,7,0,118,3,205.0,0.993022620677948
49,7,0,118,4,195.0,0.9037408828735352
49,7,0,119,2,201.0,0.9773903489112854
49,7,0,119,3,190.0,0.9880492091178894
49,7,0,119,4,179.0,0.8847771883010864
49,7,1,116,2,163.0,0.9932885766029358
49,7,1,116,3,153.0,0.8334054946899414
49,7,1,117,1,189.0,0.5454844832420349
49,7,1,117,2,193.0,0.9984207153320312
49,7,1,117,3,181.0,0.9927647709846497
49,7,1,117,4,191.0,0.810666024684906
49,7,1,118,1,193.0,0.7512245774269104
49,7,1,118,2,183.0,0.9994564652442932
49,7,1,118,3,174.0,0.9975194334983826
49,7,1,118,4,166.0,0.931140124797821
49,7,1,119,2,161.0,0.671014666557312
49,7,2,116,1,187.0,0.589040994644165
49,7,2,116,2,189.0,0.9924309849739075
49,7,2,116,3,169.0,0.683268666267395
49,7,2,117,1,174.0,0.5194312334060669
49,7,2,117,2,173.0,0.9920338988304138
49,7,2,117,3,172.0,0.7358407378196716
49,7,2,118,2,170.0,0.8567106127738953
49,7,3,116,2,160.0,0.7326024174690247
