frame,filament_id,z,y,x,raw_intensity,probability
20,7,0,55,55,0.75,0.8437088131904602
20,7,0,55,56,0.6700000166893005,0.9875697493553162
20,7,0,55,57,0.5199999809265137,0.9622402191162109
20,7,0,56,54,0.6899999976158142,0.7772747278213501
20,7,0,56,55,0.8399999737739563,0.9991355538368225
20,7,0,56,56,0.7599999904632568,0.9999617338180542
20,7,0,56,57,0.7400000095367432,0.9997029900550842
20,7,0,56,58,0.6499999761581421,0.9556434750556946
20,7,0,57,54,0.7699999809265137,0.9980833530426025
20,7,0,57,55,0.8600000143051147,0.9999985694885254
20,7,0,57,56,0.6499999761581421,0.9999998807907104
20,7,0,57,57,0.5600000023841858,0.9999860525131226
20,7,0,57,58,0.7799999713897705,0.9884961843490601
20,7,0,58,53,0.7099999785423279,0.5062162280082703
20,7,0,58,54,0.7699999809265137,0.9997562766075134
20,7,0,58,55,0.7400000095367432,0.9999998807907104
20,7,0,58,56,0.9399999976158142,1.0
20,7,0,58,57,0.7099999785423279,0.9999892711639404
20,7,0,58,58,0.550000011920929,0.974435031414032
20,7,0,59,54,0.6800000071525574,0.9993236064910889
20,7,0,59,55,1.0,0.9999991655349731
20,7,0,59,56,1.0,0.9999995231628418
20,7,0,59,57,0.5600000023841858,0.9997170567512512
20,7,0,59,58,0.6499999761581421,0.6112653017044067
20,7,0,60,54,0.8600000143051147,0.9052792191505432
20,7,0,60,55,0.8399999737739563,0.9994914531707764
20,7,0,60,56,0.7799999713897705,0.9997519850730896
20,7,0,60,57,0.6600000262260437,0.9578298926353455
20,7,0,61,55,0.699999988079071,0.6163169741630554
20,7,0,61,56,0.7599999904632568,0.7004961967468262
20,7,1,55,55,0.6700000166893005,0.9808502793312073
20,7,1,55,56,0.6800000071525574,0.9959271550178528
20,7,1,55,57,0.5899999737739563,0.8840003609657288
20,7,1,56,54,0.6000000238418579,0.9869340658187866
20,7,1,56,55,0.6399999856948853,0.9999897480010986
20,7,1,56,56,0.8500000238418579,0.9999979734420776
20,7,1,56,57,0.6200000047683716,0.9995459914207458
20,7,1,56,58,0.5199999809265137,0.6903030276298523
20,7,1,57,54,0.9200000166893005,0.9999616146087646
20,7,1,57,55,0.7300000190734863,1.0
20,7,1,57,56,0.6299999952316284,1.0
20,7,1,57,57,0.6899999976158142,0.9999827146530151
20,7,1,57,58,0.5699999928474426,0.9288227558135986
20,7,1,58,53,0.6600000262260437,0.5023264288902283
20,7,1,58,54,0.6299999952316284,0.9999709129333496
20,7,1,58,55,0.7300000190734863,1.0
20,7,1,58,56,0.6800000071525574,1.0
20,7,1,58,57,0.8100000023841858,0.999971866607666
20,7,1,58,58,0.5299999713897705,0.8301787376403809
20,7,1,59,54,0.6899999976158142,0.998659610748291
20,7,1,59,55,0.6499999761581421,0.9999991655349731
20,7,1,59,56,0.7099999785423279,0.9999986886978149
20,7,1,59,57,0.5699999928474426,0.9986674785614014
20,7,1,60,54,0.75,0.653598964214325
20,7,1,60,55,0.9200000166893005,0.9955949187278748
20,7,1,60,56,0.6299999952316284,0.9976471066474915
20,7,1,60,57,0.5099999904632568,0.8096427917480469
20,7,2,55,55,0.5699999928474426,0.5601958632469177
20,7,2,56,54,0.6499999761581421,0.8846254944801331
20,7,2,56,55,0.8100000023841858,0.9964620471000671
20,7,2,56,56,0.7099999785423279,0.9779812693595886
20,7,2,57,54,0.7099999785423279,0.9911606907844543
20,7,2,57,55,0.6499999761581421,0.9998772144317627
20,7,2,57,56,0.5699999928474426,0.9985028505325317
20,7,2,58,54,0.6100000143051147,0.9527029991149902
20,7,2,58,55,0.9200000166893005,0.999213457107544
20,7,2,58,56,0.6399999856948853,0.9948607087135315
20,7,2,59,55,0.6700000166893005,0.9207069277763367
20,7,2,59,56,0.6000000238418579,0.7486129999160767
21,7,0,53,54,0.48091602325439453,0.6176304221153259
21,7,0,53,55,0.4656488597393036,0.9719201922416687
21,7,0,53,56,0.5496183037757874,0.8605636358261108
21,7,0,54,52,0.7862595319747925,0.9749929308891296
21,7,0,54,53,0.5954198241233826,0.9999868869781494
21,7,0,54,54,0.5496183037757874,0.9999998807907104
21,7,0,54,55,0.7099236845970154,1.0
21,7,0,54,56,0.8015267252922058,0.9999852180480957
21,7,0,54,57,0.7175572514533997,0.9000940322875977
21,7,0,55,51,0.5572519302368164,0.9990466237068176
21,7,0,55,52,0.49618321657180786,0.9999998807907104
21,7,0,55,53,0.8015267252922058,1.0
21,7,0,55,54,0.8320610523223877,1.0
21,7,0,55,55,0.732824444770813,1.0
21,7,0,55,56,0.8549618124961853,0.9999996423721313
21,7,0,55,57,0.7022900581359863,0.9863370060920715
21,7,0,56,50,0.4580152630805969,0.6925251483917236
21,7,0,56,51,0.5877862572669983,0.9999723434448242
21,7,0,56,52,0.7175572514533997,1.0
21,7,0,56,53,0.8244274854660034,1.0
21,7,0,56,54,1.0,1.0
21,7,0,56,55,0.9389312863349915,1.0
21,7,0,56,56,0.7938931584358215,0.9999786615371704
21,7,0,56,57,0.6259542107582092,0.8875776529312134
21,7,0,57,51,0.5496183037757874,0.9995375871658325
21,7,0,57,52,0.885496199131012,0.9999997615814209
21,7,0,57,53,0.9541984796524048,1.0
21,7,0,57,54,0.9312977194786072,1.0
21,7,0,57,55,0.7175572514533997,0.999961256980896
21,7,0,57,56,0.6183205842971802,0.9589959383010864
21,7,0,58,51,0.7099236845970154,0.6770097613334656
21,7,0,58,52,0.7099236845970154,0.9951769113540649
21,7,0,58,53,0.7633587718009949,0.9989639520645142
21,7,0,58,54,0.7175572514533997,0.9876569509506226
21,7,0,58,55,0.5572519302368164,0.6295021176338196
21,7,1,53,53,0.48091602325439453,0.9895644187927246
21,7,1,53,54,0.49618321657180786,0.9999608993530273
21,7,1,53,55,0.7251908183097839,0.9999699592590332
21,7,1,53,56,0.6259542107582092,0.9898855686187744
21,7,1,54,51,0.4656488597393036,0.9973004460334778
21,7,1,54,52,0.4580152630805969,0.9999998807907104
21,7,1,54,53,0.572519063949585,1.0
21,7,1,54,54,0.5954198241233826,1.0
21,7,1,54,55,0.9923664331436157,1.0
21,7,1,54,56,0.6412213444709778,0.9999978542327881
21,7,1,54,57,0.3129771053791046,0.6992018222808838
21,7,1,55,49,0.4580152630805969,0.8957435488700867
21,7,1,55,50,0.5648854970932007,0.9999761581420898
21,7,1,55,51,0.5267175436019897,1.0
21,7,1,55,52,0.8625954389572144,1.0
21,7,1,55,53,0.9007633328437805,1.0
21,7,1,55,54,0.8625954389572144,1.0
21,7,1,55,55,0.8625954389572144,1.0
21,7,1,55,56,0.6030534505844116,0.9999995231628418
21,7,1,55,57,0.4198473393917084,0.728528618812561
21,7,1,56,49,0.5114504098892212,0.9828379154205322
21,7,1,56,50,0.5648854970932007,0.9999980926513672
21,7,1,56,51,0.7480915784835815,1.0
21,7,1,56,52,0.8931297659873962,1.0
21,7,1,56,53,0.8167939186096191,1.0
21,7,1,56,54,0.8625954389572144,1.0
21,7,1,56,55,0.6564885377883911,1.0
21,7,1,56,56,0.5343511700630188,0.9999072551727295
21,7,1,57,49,0.6488549709320068,0.7800756096839905
21,7,1,57,50,0.6030534505844116,0.9996519088745117
21,7,1,57,51,0.6793892979621887,0.9999997615814209
21,7,1,57,52,0.8015267252922058,1.0
21,7,1,57,53,0.6641221642494202,1.0
21,7,1,57,54,0.6106870174407959,1.0
21,7,1,57,55,0.442748099565506,0.9998764991760254
21,7,1,57,56,0.4580152630805969,0.7599537372589111
21,7,1,58,51,0.5190839767456055,0.8505154848098755
21,7,1,58,52,0.45038166642189026,0.9778872132301331
21,7,1,58,53,0.5496183037757874,0.972413182258606
21,7,1,58,54,0.4580152630805969,0.7795979380607605
21,7,2,53,52,0.5572519302368164,0.9945517182350159
21,7,2,53,53,0.6870229244232178,0.999998927116394
21,7,2,53,54,0.6183205842971802,0.9999992847442627
21,7,2,53,55,0.4198473393917084,0.999717652797699
21,7,2,54,50,0.45038166642189026,0.9970517158508301
21,7,2,54,51,0.5267175436019897,0.9999995231628418
21,7,2,54,52,0.694656491279602,1.0
21,7,2,54,53,0.8778625726699829,1.0
21,7,2,54,54,0.6412213444709778,1.0
21,7,2,54,55,0.5419847369194031,1.0
21,7,2,54,56,0.47328245639801025,0.9604980945587158
21,7,2,55,49,0.6183205842971802,0.9999724626541138
21,7,2,55,50,0.8244274854660034,1.0
21,7,2,55,51,0.5648854970932007,1.0
21,7,2,55,52,0.9465649127960205,1.0
21,7,2,55,53,0.7633587718009949,1.0
21,7,2,55,54,0.8244274854660034,1.0
21,7,2,55,55,0.5038167834281921,1.0
21,7,2,55,56,0.47328245639801025,0.9019520878791809
21,7,2,56,48,0.49618321657180786,0.7705625891685486
21,7,2,56,49,0.8091602921485901,0.9999966621398926
21,7,2,56,50,0.7480915784835815,1.0
21,7,2,56,51,0.8396946787834167,1.0
21,7,2,56,52,0.6488549709320068,1.0
21,7,2,56,53,0.42748090624809265,1.0
21,7,2,56,54,0.42748090624809265,1.0
21,7,2,56,55,0.4885496199131012,0.9997268319129944
21,7,2,57,49,0.5419847369194031,0.9993434548377991
21,7,2,57,50,0.580152690410614,0.9999984502792358
21,7,2,57,51,0.5114504098892212,0.9999997615814209
21,7,2,57,52,0.5343511700630188,0.9999991655349731
21,7,2,57,53,0.5038167834281921,0.9999281167984009
21,7,2,57,54,0.47328245639801025,0.9839041233062744
21,7,3,53,52,0.5572519302368164,0.9981775283813477
21,7,3,53,53,0.5572519302368164,0.9999918937683105
21,7,3,53,54,0.5648854970932007,0.999927282333374
21,7,3,53,55,0.5267175436019897,0.9396551847457886
21,7,3,54,50,0.40458014607429504,0.9915027618408203
21,7,3,54,51,0.442748099565506,0.9999973773956299
21,7,3,54,52,0.5419847369194031,1.0
21,7,3,54,53,0.6335877776145935,1.0
21,7,3,54,54,0.4656488597393036,1.0
21,7,3,54,55,0.442748099565506,0.9950579404830933
21,7,3,55,49,0.5343511700630188,0.9994944334030151
21,7,3,55,50,0.5496183037757874,0.9999997615814209
21,7,3,55,51,0.6717557311058044,1.0
21,7,3,55,52,0.7938931584358215,1.0
21,7,3,55,53,0.6183205842971802,1.0
21,7,3,55,54,0.6870229244232178,0.9999998807907104
21,7,3,55,55,0.3435114622116089,0.9398949146270752
