frame,filament_id,z,y,x,raw_intensity,probability
2,8,0,83,65,146.0,0.6560095548629761
2,8,0,83,66,154.0,0.5811496376991272
2,8,0,84,64,145.0,0.9342867136001587
2,8,0,84,65,139.0,0.995471715927124
2,8,0,84,66,141.0,0.995141863822937
2,8,0,84,67,149.0,0.9014139771461487
2,8,0,85,64,158.0,0.961713969707489
2,8,0,85,65,151.0,0.9945842623710632
2,8,0,85,66,162.0,0.9909343123435974
2,8,0,85,67,145.0,0.8676917552947998
2,8,0,86,65,141.0,0.6680048108100891
2,8,0,86,66,149.0,0.6142075061798096
2,8,1,84,66,142.0,0.6480039358139038
3,5,1,57,77,138.0,0.5491929650306702
3,5,1,58,76,134.0,0.7350149750709534
3,5,1,58,77,151.0,0.9055169820785522
3,5,2,58,76,143.0,0.7326298952102661
3,5,2,58,77,151.0,0.7523955702781677
3,8,0,80,66,144.0,0.8580827116966248
3,8,0,81,65,143.0,0.6798953413963318
3,8,0,81,66,138.0,0.830630362033844
3,8,1,80,65,154.0,0.9335607290267944
3,8,1,80,66,160.0,0.9179933667182922
3,8,1,81,65,148.0,0.8712908625602722
3,8,1,81,66,162.0,0.798182487487793
4,8,0,84,67,142.0,0.9540185928344727
4,8,0,84,68,146.0,0.993899941444397
4,8,0,84,69,130.0,0.985049307346344
4,8,0,84,70,150.0,0.9204210638999939
4,8,0,84,71,135.0,0.5688755512237549
4,8,0,85,66,147.0,0.9656394124031067
4,8,0,85,67,151.0,0.999122679233551
4,8,0,85,68,152.0,0.9997112154960632
4,8,0,85,69,156.0,0.9990065693855286
4,8,0,85,70,145.0,0.9954979419708252
4,8,0,85,71,150.0,0.8534282445907593
4,8,0,86,66,141.0,0.9585041403770447
4,8,0,86,67,149.0,0.9985027313232422
4,8,0,86,68,143.0,0.9997319579124451
4,8,0,86,69,162.0,0.9994956254959106
4,8,0,86,70,144.0,0.9990390539169312
4,8,0,86,71,156.0,0.9038144946098328
4,8,0,87,66,138.0,0.6429990530014038
4,8,0,87,67,154.0,0.8868111968040466
4,8,0,87,68,139.0,0.9753725528717041
4,8,0,87,69,146.0,0.9850919842720032
4,8,0,87,70,155.0,0.9931082725524902
4,8,0,87,71,148.0,0.8021267652511597
4,8,1,83,67,140.0,0.9914926886558533
4,8,1,83,68,134.0,0.99183589220047
4,8,1,83,69,149.0,0.8306173086166382
4,8,1,84,66,139.0,0.8930858373641968
4,8,1,84,67,136.0,0.9998164772987366
4,8,1,84,68,158.0,0.9998365640640259
4,8,1,84,69,155.0,0.9930322170257568
4,8,1,85,66,152.0,0.9828488230705261
4,8,1,85,67,173.0,0.9999054670333862
4,8,1,85,68,143.0,0.9998220801353455
4,8,1,85,69,156.0,0.9953510761260986
4,8,1,85,70,155.0,0.6616590619087219
4,8,1,86,66,148.0,0.7217823266983032
4,8,1,86,67,149.0,0.9866539835929871
4,8,1,86,68,149.0,0.9922370314598083
4,8,1,86,69,142.0,0.96488356590271
4,8,1,86,70,130.0,0.6326612830162048
4,8,2,82,66,146.0,0.9976425766944885
4,8,2,82,67,155.0,0.9997898936271667
4,8,2,82,68,142.0,0.9701622724533081
4,8,2,83,65,140.0,0.544651985168457
4,8,2,83,66,150.0,0.999411940574646
4,8,2,83,67,155.0,0.999994158744812
4,8,2,83,68,156.0,0.9993663430213928
4,8,2,84,66,136.0,0.9985027313232422
4,8,2,84,67,168.0,0.9999901056289673
4,8,2,84,68,155.0,0.999543309211731
4,8,2,85,66,137.0,0.6957287788391113
4,8,2,85,67,148.0,0.989384114742279
4,8,2,85,68,136.0,0.8873525857925415
4,8,3,81,66,143.0,0.8937398195266724
4,8,3,81,67,145.0,0.9057686924934387
4,8,3,82,65,145.0,0.9899572730064392
4,8,3,82,66,148.0,0.9999960660934448
4,8,3,82,67,152.0,0.9999974966049194
4,8,3,82,68,153.0,0.9920706152915955
4,8,3,83,65,147.0,0.9800552129745483
4,8,3,83,66,139.0,0.999995231628418
4,8,3,83,67,153.0,0.9999992847442627
4,8,3,83,68,151.0,0.9988653659820557
4,8,3,84,65,138.0,0.9600433111190796
4,8,3,84,66,154.0,0.9999611377716064
4,8,3,84,67,137.0,0.9999884366989136
4,8,3,84,68,146.0,0.9959048628807068
4,8,4,81,66,138.0,0.7472255229949951
4,8,4,81,67,137.0,0.6759346127510071
4,8,4,82,65,151.0,0.9150985479354858
4,8,4,82,66,146.0,0.9994245767593384
4,8,4,82,67,157.0,0.9992411136627197
4,8,4,82,68,141.0,0.7496422529220581
4,8,4,83,65,150.0,0.8597121834754944
4,8,4,83,66,149.0,0.999045193195343
4,8,4,83,67,165.0,0.9994490742683411
4,8,4,83,68,137.0,0.8890969753265381
4,8,4,84,66,137.0,0.9857839941978455
4,8,4,84,67,134.0,0.9758411645889282
5,8,0,79,68,149.0,0.6221344470977783
5,8,1,78,67,144.0,0.9374603629112244
5,8,1,78,68,138.0,0.9556698203086853
5,8,1,79,67,151.0,0.9711649417877197
5,8,1,79,68,161.0,0.9946647882461548
5,8,1,79,69,152.0,0.9370449185371399
5,8,1,80,67,137.0,0.5240563154220581
5,8,1,80,68,145.0,0.891090452671051
5,8,1,80,69,150.0,0.663862407207489
5,8,2,77,67,138.0,0.8873662948608398
5,8,2,77,68,154.0,0.9841355681419373
5,8,2,77,69,159.0,0.5992828607559204
5,8,2,78,67,144.0,0.9996077418327332
5,8,2,78,68,154.0,0.9999856948852539
5,8,2,78,69,157.0,0.9981309771537781
5,8,2,79,67,159.0,0.9975442290306091
5,8,2,79,68,150.0,0.9999233484268188
5,8,2,79,69,153.0,0.9974428415298462
5,8,2,80,67,135.0,0.6644282937049866
5,8,2,80,68,153.0,0.9272001385688782
5,8,2,80,69,148.0,0.6577520966529846
5,8,3,77,67,147.0,0.9965215921401978
5,8,3,77,68,154.0,0.9993211030960083
5,8,3,77,69,132.0,0.8951043486595154
5,8,3,78,66,144.0,0.6712804436683655
5,8,3,78,67,147.0,0.9999456405639648
5,8,3,78,68,138.0,0.9999984502792358
5,8,3,78,69,153.0,0.9994699358940125
5,8,3,79,67,144.0,0.9979165196418762
5,8,3,79,68,142.0,0.9998741149902344
5,8,3,79,69,145.0,0.9831104278564453
5,8,3,80,67,142.0,0.6141897439956665
5,8,3,80,68,134.0,0.7492753267288208
5,8,4,77,67,138.0,0.5970894694328308
5,8,4,77,68,142.0,0.9351800680160522
5,8,4,78,67,142.0,0.9381205439567566
5,8,4,78,68,147.0,0.9977853298187256
5,8,4,78,69,143.0,0.9569600224494934
5,8,4,79,68,139.0,0.891069233417511
6,8,0,83,69,144.0,0.9102249145507812
6,8,0,83,70,144.0,0.9923312664031982
6,8,0,83,71,128.0,0.993301510810852
6,8,0,83,72,146.0,0.8334987163543701
6,8,0,84,66,147.0,0.7290229797363281
6,8,0,84,67,151.0,0.8797591328620911
6,8,0,84,68,141.0,0.9379288554191589
6,8,0,84,69,160.0,0.9886298179626465
6,8,0,84,70,146.0,0.998944103717804
6,8,0,84,71,146.0,0.9975659847259521
6,8,0,84,72,151.0,0.8934395909309387
6,8,0,85,65,131.0,0.8005712628364563
6,8,0,85,66,126.0,0.9915512800216675
6,8,0,85,67,155.0,0.9982311129570007
