frame,filament_id,z,y,x,raw_intensity,probability
9,4,0,81,61,150.0,0.7112992405891418
9,4,0,81,62,151.0,0.6675699353218079
9,4,0,81,63,157.0,0.8863750100135803
9,4,0,82,61,162.0,0.6143071055412292
9,4,0,82,62,147.0,0.6652796268463135
9,4,1,81,61,163.0,0.6778666377067566
9,4,1,81,62,158.0,0.7737144827842712
9,4,1,81,63,144.0,0.8357130289077759
9,4,1,82,61,131.0,0.609614908695221
14,4,0,79,58,145.0,0.5471315383911133
14,4,0,82,60,157.0,0.60206538438797
17,4,1,88,57,145.0,0.5246006846427917
17,4,1,88,58,153.0,0.9380664825439453
17,4,1,88,59,150.0,0.8617572784423828
17,4,1,89,57,159.0,0.5635601878166199
17,4,1,89,58,135.0,0.9612026810646057
17,4,1,89,59,156.0,0.9108631610870361
17,4,1,90,58,137.0,0.72564297914505
23,4,0,81,63,146.0,0.8099386692047119
23,4,0,81,64,138.0,0.5898783206939697
23,4,0,82,63,152.0,0.7623815536499023
23,4,0,82,64,144.0,0.7313345074653625
23,4,0,83,63,128.0,0.736455500125885
23,4,0,83,64,152.0,0.7229244709014893
26,4,0,83,64,148.0,0.8113844990730286
26,4,0,83,65,150.0,0.5937994122505188
26,4,0,84,64,143.0,0.5045450329780579
28,2,0,52,63,159.0,0.9198865294456482
28,2,0,52,64,162.0,0.9820619225502014
28,2,0,52,65,150.0,0.9427129030227661
28,2,0,53,62,149.0,0.9405636787414551
28,2,0,53,63,153.0,0.9966549873352051
28,2,0,53,64,160.0,0.9982314705848694
28,2,0,53,65,160.0,0.9707695245742798
28,2,0,54,63,159.0,0.9452608823776245
28,2,0,54,64,159.0,0.9327775239944458
28,2,1,52,64,146.0,0.9047248363494873
28,2,1,52,65,150.0,0.8487766981124878
28,2,1,53,63,148.0,0.9296469688415527
28,2,1,53,64,127.0,0.9838435053825378
28,2,1,53,65,153.0,0.876350998878479
29,2,0,51,63,139.0,0.7923540472984314
29,2,0,51,64,140.0,0.8710520267486572
29,2,0,52,62,141.0,0.8655471801757812
29,2,0,52,63,151.0,0.9881495237350464
29,2,0,52,64,152.0,0.9967809915542603
29,2,0,52,65,137.0,0.9442729353904724
29,2,0,53,60,136.0,0.7999183535575867
29,2,0,53,61,136.0,0.7838373184204102
29,2,0,53,62,157.0,0.8814757466316223
29,2,0,53,63,150.0,0.9915061593055725
29,2,0,53,64,157.0,0.9993494153022766
29,2,0,53,65,156.0,0.9965012073516846
29,2,0,53,66,139.0,0.8335016965866089
29,2,0,54,64,136.0,0.7868534326553345
29,2,0,54,65,142.0,0.8493520021438599
29,2,0,54,66,136.0,0.5157228708267212
29,2,1,51,64,136.0,0.6797853112220764
29,2,1,52,63,155.0,0.6960814595222473
29,2,1,52,64,160.0,0.9754936099052429
29,2,1,52,65,138.0,0.7541356086730957
29,2,1,53,63,137.0,0.7886970043182373
29,2,1,53,64,151.0,0.9967677593231201
29,2,1,53,65,131.0,0.9940650463104248
29,2,1,53,66,152.0,0.6483233571052551
29,2,1,54,64,143.0,0.509266197681427
29,2,1,54,65,156.0,0.8949781656265259
38,2,0,52,60,146.0,0.6376422047615051
38,2,0,52,61,148.0,0.9722723364830017
38,2,0,52,62,142.0,0.9251707196235657
38,2,0,53,60,138.0,0.9886526465415955
38,2,0,53,61,147.0,0.9997642636299133
38,2,0,53,62,147.0,0.9984868764877319
38,2,0,53,63,150.0,0.9054199457168579
38,2,0,54,60,159.0,0.8961203694343567
38,2,0,54,61,145.0,0.9869389533996582
38,2,0,54,62,135.0,0.9310165643692017
38,2,1,52,61,144.0,0.812997579574585
38,2,1,53,60,142.0,0.8634925484657288
38,2,1,53,61,149.0,0.9859241247177124
38,2,1,53,62,143.0,0.8852598071098328
38,2,1,54,60,147.0,0.5878955125808716
38,2,1,54,61,139.0,0.8837524056434631
46,2,0,52,64,141.0,0.5971199870109558
46,2,0,52,65,156.0,0.7645353078842163
46,2,0,53,64,152.0,0.7410075068473816
46,2,0,53,65,143.0,0.8507347702980042
46,2,1,53,65,141.0,0.5315844416618347
47,2,0,51,63,141.0,0.7338194847106934
47,2,0,51,64,142.0,0.6805633902549744
47,2,0,52,63,148.0,0.9348692297935486
47,2,0,52,64,151.0,0.9410830140113831
47,2,0,52,65,133.0,0.545865535736084
47,2,0,52,66,136.0,0.6454958915710449
47,2,0,53,63,139.0,0.804321825504303
47,2,0,53,64,141.0,0.8979833126068115
47,2,0,53,65,137.0,0.8598173260688782
47,2,0,53,66,148.0,0.9359064102172852
47,2,1,51,63,147.0,0.7843970060348511
47,2,1,51,64,145.0,0.5317515730857849
47,2,1,52,63,142.0,0.967113733291626
47,2,1,52,64,133.0,0.9550634622573853
47,2,1,52,65,146.0,0.54789799451828
47,2,1,53,63,143.0,0.7204957604408264
47,2,1,53,64,138.0,0.878791868686676
47,2,1,53,65,137.0,0.7543869614601135
47,2,1,53,66,136.0,0.6451811790466309
