frame,filament_id,z,y,x,raw_intensity,probability
6,3,0,55,71,147.0,0.5678723454475403
6,3,0,55,72,146.0,0.933754563331604
6,3,0,56,71,163.0,0.8046984672546387
6,3,0,56,72,163.0,0.9954730868339539
6,3,0,56,73,167.0,0.9696378707885742
6,3,0,57,72,166.0,0.9257462620735168
6,3,0,57,73,150.0,0.8987671136856079
6,3,1,55,72,158.0,0.6715231537818909
6,3,1,56,61,156.0,0.854080080986023
6,3,1,56,72,169.0,0.9521656632423401
6,3,1,56,73,151.0,0.8290109634399414
6,3,1,57,61,158.0,0.5408474206924438
6,3,1,57,72,161.0,0.7387620806694031
6,3,1,57,73,175.0,0.6608467102050781
6,3,2,56,60,166.0,0.7613278031349182
6,3,2,56,61,159.0,0.8750768899917603
6,3,2,57,60,150.0,0.5371431112289429
6,3,2,57,61,147.0,0.7368264198303223
13,3,0,57,69,156.0,0.6222500801086426
13,3,0,57,70,155.0,0.5082712769508362
13,3,0,58,63,141.0,0.6035944819450378
13,3,0,58,64,149.0,0.8940947651863098
13,3,0,58,65,143.0,0.8266699910163879
13,3,0,58,66,140.0,0.9814645648002625
13,3,0,58,67,153.0,0.9994334578514099
13,3,0,58,68,143.0,0.9998434782028198
13,3,0,58,69,165.0,0.9986845850944519
13,3,0,58,70,135.0,0.9438278675079346
13,3,0,59,63,146.0,0.512058436870575
13,3,0,59,64,158.0,0.8559311628341675
13,3,0,59,65,146.0,0.923707902431488
13,3,0,59,66,160.0,0.9987785220146179
13,3,0,59,67,149.0,0.9999874830245972
13,3,0,59,68,158.0,0.9999971389770508
13,3,0,59,69,159.0,0.999887228012085
13,3,0,59,70,148.0,0.9061037302017212
13,3,0,60,65,155.0,0.6721218824386597
13,3,0,60,66,146.0,0.99544757604599
13,3,0,60,67,147.0,0.9999638795852661
13,3,0,60,68,150.0,0.9999957084655762
13,3,0,60,69,148.0,0.9999240636825562
13,3,0,60,70,143.0,0.9243998527526855
13,3,0,61,67,138.0,0.9572704434394836
13,3,0,61,68,171.0,0.9977474808692932
13,3,0,61,69,155.0,0.9935111403465271
13,3,0,61,70,153.0,0.7476291060447693
13,3,1,58,63,147.0,0.8845461010932922
13,3,1,58,64,133.0,0.9086261987686157
13,3,1,58,65,145.0,0.7686106562614441
13,3,1,58,66,146.0,0.9907718896865845
13,3,1,58,67,142.0,0.9998553991317749
13,3,1,58,68,147.0,0.9999462366104126
13,3,1,58,69,143.0,0.9992200136184692
13,3,1,58,70,144.0,0.8569049835205078
13,3,1,59,62,148.0,0.5595320463180542
13,3,1,59,63,164.0,0.8936658501625061
13,3,1,59,64,144.0,0.9044003486633301
13,3,1,59,65,154.0,0.8991730809211731
13,3,1,59,66,151.0,0.9980413913726807
13,3,1,59,67,148.0,0.9999868869781494
