frame,filament_id,z,y,x,raw_intensity,probability
4,2,0,41,28,143.0,0.5833985209465027
4,2,0,41,29,141.0,0.6277874112129211
4,2,0,42,26,153.0,0.5587227940559387
4,2,0,42,27,161.0,0.9713019132614136
4,2,0,42,28,166.0,0.9986236095428467
4,2,0,42,29,145.0,0.9997259974479675
4,2,0,42,30,162.0,0.999090313911438
4,2,0,42,31,162.0,0.9435679912567139
4,2,0,43,24,154.0,0.8483322858810425
4,2,0,43,25,161.0,0.965256929397583
4,2,0,43,26,142.0,0.9970058798789978
4,2,0,43,27,161.0,0.9998175501823425
4,2,0,43,28,147.0,0.9999587535858154
4,2,0,43,29,158.0,0.9999489784240723
4,2,0,43,30,157.0,0.9993485808372498
4,2,0,43,31,148.0,0.8010534644126892
4,2,0,44,23,156.0,0.8649948239326477
4,2,0,44,24,152.0,0.9892092347145081
4,2,0,44,25,159.0,0.994438886642456
4,2,0,44,26,157.0,0.9988638162612915
4,2,0,44,27,149.0,0.999627947807312
4,2,0,44,28,155.0,0.9996529817581177
4,2,0,44,29,140.0,0.9992220401763916
4,2,0,44,30,151.0,0.9924301505088806
4,2,0,45,23,140.0,0.9696141481399536
4,2,0,45,24,151.0,0.9969081282615662
4,2,0,45,25,151.0,0.9930938482284546
4,2,0,45,26,158.0,0.9920693635940552
4,2,0,45,27,141.0,0.9664440751075745
4,2,0,45,28,170.0,0.8713693022727966
4,2,0,45,29,143.0,0.6991119980812073
4,2,0,46,24,156.0,0.805779755115509
4,2,0,46,25,168.0,0.6234713792800903
4,2,1,41,27,137.0,0.8720346689224243
4,2,1,41,28,144.0,0.9812585711479187
4,2,1,42,25,142.0,0.5302133560180664
4,2,1,42,26,144.0,0.9982823133468628
4,2,1,42,27,154.0,0.9999939203262329
4,2,1,42,28,152.0,0.9999971389770508
4,2,1,42,29,154.0,0.9998201727867126
4,2,1,42,30,148.0,0.9858822822570801
4,2,1,42,31,143.0,0.5948951244354248
4,2,1,43,25,147.0,0.9903250932693481
4,2,1,43,26,158.0,0.9999924898147583
4,2,1,43,27,158.0,0.9999998807907104
4,2,1,43,28,155.0,0.9999997615814209
4,2,1,43,29,137.0,0.9999885559082031
4,2,1,43,30,153.0,0.996190071105957
4,2,1,43,31,146.0,0.621013879776001
4,2,1,44,24,144.0,0.740096390247345
4,2,1,44,25,144.0,0.9980534315109253
4,2,1,44,26,159.0,0.9999890327453613
4,2,1,44,27,155.0,0.999998927116394
4,2,1,44,28,153.0,0.9999924898147583
4,2,1,44,29,147.0,0.9996325969696045
4,2,1,44,30,164.0,0.9486631751060486
4,2,1,45,23,137.0,0.5135855674743652
4,2,1,45,24,150.0,0.9723811745643616
4,2,1,45,25,137.0,0.997712254524231
4,2,1,45,26,162.0,0.9993805885314941
4,2,1,45,27,153.0,0.9985787868499756
4,2,1,45,28,146.0,0.9887667298316956
4,2,1,45,29,160.0,0.6664761900901794
4,2,1,46,24,158.0,0.651495635509491
4,2,1,46,25,161.0,0.835952877998352
4,2,1,46,26,154.0,0.7179531455039978
4,2,2,41,27,152.0,0.8983863592147827
4,2,2,41,28,161.0,0.6980525851249695
4,2,2,42,26,145.0,0.9994519352912903
4,2,2,42,27,162.0,0.9999778270721436
4,2,2,42,28,156.0,0.9998458623886108
4,2,2,42,29,133.0,0.6798223257064819
4,2,2,43,25,143.0,0.9504455924034119
4,2,2,43,26,156.0,0.999994158744812
4,2,2,43,27,145.0,0.9999997615814209
4,2,2,43,28,156.0,0.9999819993972778
4,2,2,43,29,143.0,0.9732624292373657
4,2,2,44,25,154.0,0.9580898284912109
4,2,2,44,26,164.0,0.9999538660049438
4,2,2,44,27,153.0,0.9999909400939941
4,2,2,44,28,159.0,0.9996803998947144
4,2,2,44,29,136.0,0.8132416605949402
4,2,2,45,25,146.0,0.7284201383590698
4,2,2,45,26,149.0,0.9594072699546814
4,2,2,45,27,137.0,0.9617218375205994
4,2,2,45,28,130.0,0.5656974911689758
4,2,3,42,26,146.0,0.9895949959754944
4,2,3,42,27,150.0,0.9868677854537964
4,2,3,43,25,156.0,0.9256764650344849
4,2,3,43,26,155.0,0.9998026490211487
4,2,3,43,27,133.0,0.9997190833091736
4,2,3,43,28,143.0,0.819561779499054
4,2,3,44,25,159.0,0.9261701107025146
4,2,3,44,26,155.0,0.9988172650337219
4,2,3,44,27,143.0,0.9958509206771851
4,2,3,45,26,156.0,0.6760021448135376
5,2,0,43,29,166.0,0.7780218124389648
5,2,0,43,30,156.0,0.9754654765129089
5,2,0,43,31,156.0,0.750995397567749
5,2,0,44,29,143.0,0.9738646149635315
5,2,0,44,30,161.0,0.9997106194496155
5,2,0,44,31,165.0,0.9996175765991211
5,2,0,44,32,152.0,0.9399297833442688
5,2,0,45,29,137.0,0.9784689545631409
5,2,0,45,30,160.0,0.9999299049377441
5,2,0,45,31,161.0,0.9999641180038452
5,2,0,45,32,138.0,0.9943941831588745
5,2,0,46,29,154.0,0.7861220836639404
5,2,0,46,30,150.0,0.9974929094314575
5,2,0,46,31,160.0,0.998907208442688
5,2,0,46,32,145.0,0.8805140256881714
5,2,0,47,30,162.0,0.9171743988990784
5,2,0,47,31,158.0,0.8694494962692261
5,2,1,43,28,149.0,0.6946768760681152
5,2,1,43,29,135.0,0.9910105466842651
5,2,1,43,30,142.0,0.998593270778656
5,2,1,43,31,140.0,0.9033941030502319
5,2,1,44,28,156.0,0.884391188621521
5,2,1,44,29,155.0,0.9996767044067383
5,2,1,44,30,141.0,0.9999980926513672
5,2,1,44,31,141.0,0.9999940395355225
5,2,1,44,32,156.0,0.961707592010498
5,2,1,45,28,139.0,0.5755492448806763
5,2,1,45,29,137.0,0.9992755055427551
5,2,1,45,30,143.0,0.9999992847442627
5,2,1,45,31,150.0,0.9999998807907104
