Epoch,Loss,Dice
1,0.18059524060969717,0.39553165147965985
2,0.19010994153725447,0.3579408800191927
3,0.18931571447228634,0.36952212617533015
4,0.18609492138225156,0.3733912475703919
5,0.17980273375568295,0.37910394540189635
6,0.18112403898166718,0.3793505876913838
7,0.17993467837336177,0.37926129395125713
8,0.19164740151726753,0.3547990931774335
9,0.1818734943257628,0.3601554096593255
10,0.1815110600749562,0.3719539423900296
11,0.16782113467568557,0.4092392486632549
12,0.18121594391485424,0.3793351802076878
13,0.1697325227687049,0.3934653861557736
14,0.1805877698739075,0.4011868719871228
15,0.20054017985860506,0.31414209393991366
16,0.20617555161560114,0.3291497161662031
17,0.22234653584309855,0.28233070111600683
18,0.1930948003609381,0.345616433752646
19,0.1779597695234286,0.3838696701397965
20,0.17309186494087808,0.4022762151039153
21,0.17860238742572468,0.39130372744129627
22,0.17990788300553567,0.3940857748275614
23,0.18951495580430758,0.3533865603364327
24,0.1895513780847825,0.3537808299993903
25,0.19555422996140392,0.34374655978330837
26,0.18485469364350962,0.36182686115079876
27,0.17438642316756564,0.40148022203809686
28,0.16922866091373237,0.40613926105629816
29,0.16018431741834588,0.4310570861206516
30,0.1653214710004617,0.42858731934193817
31,0.1508361847570263,0.44655943702383816
32,0.1677558476512129,0.4228184778184439
33,0.15181481285493906,0.45419652703484253
34,0.14658249158204523,0.45917438076470385
35,0.15292717813431095,0.4566954720381989
36,0.15441192715877913,0.45674563007983
37,0.14066163095210485,0.4722978060756029
38,0.1462334565895241,0.4775015809751929
39,0.14798699697014076,0.48145446402486414
40,0.1439788256275569,0.48737022497576393
41,0.13999373258859155,0.4988502213583056
42,0.13112307114002233,0.4996915075108578
43,0.13970690516783832,0.5113507432747731
44,0.13056318500334918,0.5075999461368982
45,0.13165469322586432,0.5284474287099309
46,0.1369866856775985,0.5205337102203433
47,0.12686077782642055,0.5332833504570382
48,0.1408754878389659,0.49825909172517086
49,0.13250313411303927,0.5089220966181058
50,0.13157952498812708,0.5355715525103207
51,0.1340158860444176,0.5068117085139494
52,0.1290090755690538,0.5337591247479303
53,0.12818835694703185,0.5428706355173302
54,0.12494433763870297,0.5389248672955566
55,0.12420224253100719,0.557848379801993
56,0.12462231265139437,0.5496855969804755
57,0.12069327629635629,0.5506065944880918
58,0.11906425468032364,0.5776578130465396
59,0.11500591824110717,0.5702617563631224
60,0.1204865606905851,0.5732491229902263
61,0.11860416052673182,0.5670569639453243
62,0.11325055343436885,0.5675206887399101
63,0.11953722339138302,0.5616312420188643
64,0.12459428359010338,0.547543325101279
65,0.12201432416218592,0.5506300732293832
66,0.11389093713668527,0.584659368307753
67,0.1094616152404017,0.5839779611144748
68,0.11047329974544935,0.5796678465837402
69,0.11346069430074657,0.5695471882150415
70,0.12212753960777402,0.5554875935440373
71,0.11787537460053805,0.5818310202371362
72,0.11359979304425454,0.5873679924909383
73,0.10712271755809533,0.5797398221586738
74,0.11248573209472655,0.582944003385672
75,0.10632605256582742,0.5970770378461044
76,0.13342467343100323,0.525544234433259
77,0.1197098441852206,0.5574434124242326
78,0.10984806946517699,0.5910615723454551
79,0.10545659784480639,0.5886021589162345
80,0.1109882471334065,0.5852110447102062
81,0.10786892415655887,0.5879404303317145
82,0.10953202451213812,0.5939113950782827
83,0.1056202901173307,0.6011890004166459
84,0.11565747073474822,0.5595374410778149
85,0.1106798914530291,0.5883587313502022
86,0.10387644401682782,0.6005895108119395
87,0.10119044886925002,0.6167762260188113
88,0.10977317220650092,0.5921925891494184
89,0.10380089413789859,0.6027838285294694
90,0.10209989979652263,0.59960660011801
91,0.10457169917742001,0.6044454651648175
92,0.10328356523828823,0.5947161058161391
93,0.09970686531964598,0.6099421312378732
94,0.11316683362837758,0.5876711078696122
95,0.10813100646423325,0.5971301487451482
96,0.10111040189076448,0.6144389561492059
97,0.10068376973659242,0.6140145745786778
98,0.10308051708179188,0.5964291568558949
99,0.10757367333154387,0.5981051883834748
100,0.10069057389099809,0.6147008802741766
