Epoch,Loss,Dice
1,0.17369762787993034,0.4654433786366763
2,0.1740642194731415,0.44999450777488
3,0.17247567529312052,0.4492994787154963
4,0.156977798647629,0.4837584627020332
5,0.17508109814327227,0.4492705930236532
6,0.16621878335718066,0.4575671222877649
7,0.15628474998320152,0.48744827422252973
8,0.17747424524156838,0.44352159261921636
9,0.16351943388797438,0.46615785485346045
10,0.1711811826179518,0.46129592920130047
11,0.16895978255242797,0.4570926618548708
12,0.16697361552786535,0.45077739574737224
13,0.1530638135857104,0.47918640778296523
14,0.151502661351432,0.47888779586435043
15,0.14330571509258078,0.5156586847948225
16,0.16604598159257075,0.48563529287502505
17,0.14933158330985818,0.5190985421300071
18,0.16444057873256193,0.483226467685567
19,0.14848964805523418,0.5328271079842495
20,0.1312443468705169,0.5567248664326496
21,0.12138695476453745,0.5596924313582112
22,0.1391335862361437,0.542638432738992
23,0.12678053035571743,0.5628990581705829
24,0.12091090179123411,0.5724646469991131
25,0.13146603846430066,0.5618267474039881
26,0.138547651263712,0.5367195874220279
27,0.12937045986590265,0.553639817580178
28,0.12367642647189295,0.5804578376677451
29,0.1342771214143299,0.5528582948852669
30,0.11609978044776637,0.5988187353982344
31,0.11409070428299646,0.5953419997074485
32,0.13390445094522282,0.5519004818626437
33,0.12244291413836428,0.6018048166255424
34,0.11007990231689434,0.6185809261755112
35,0.10551965917683574,0.6324913406331615
36,0.12042149895858399,0.6006261907251818
37,0.11787205276120996,0.6013649828378826
38,0.11267045234897427,0.6043997604209937
39,0.1037501632983317,0.632242642526392
40,0.10939739784213721,0.6261866241693497
41,0.11712258442716442,0.6042110293833307
42,0.10269959736599069,0.6388000539765599
43,0.09943282219134585,0.6279776685632545
44,0.10250015339164903,0.6432979194439046
45,0.10819656916647453,0.6169217478358344
46,0.10790361373929734,0.6252043704877718
47,0.12717433579382487,0.5788770714106194
48,0.10226715626453588,0.6577780335918412
49,0.096434025298787,0.6248497120566197
50,0.09778210172824381,0.6369676422202185
51,0.10678208100400102,0.6170042195423905
52,0.09817997068929626,0.6493749371825694
53,0.086764100028474,0.639733539490718
54,0.09491140190209114,0.6256143391947262
55,0.09327502605021949,0.6683691806110443
56,0.0993077720228257,0.6293625190072427
57,0.11524951570552895,0.6123143729965457
58,0.10997545139948092,0.6348440186649494
59,0.09880885823752215,0.6426232207249098
60,0.1044815374593567,0.6296891098988525
61,0.09414775399956461,0.6298981553586743
62,0.09040115653157861,0.6730604580421558
63,0.08840540387303587,0.6558815629644827
64,0.09043137980061147,0.6498557219112461
65,0.0895778795515104,0.6650462034030244
66,0.08946392054510469,0.674974921178282
67,0.09327630292612135,0.6701346159902182
68,0.09459103485871714,0.660192161715693
69,0.08770830395882807,0.6900481996504036
70,0.09206356843812037,0.6543868268299313
71,0.09750965579649354,0.6548468061541551
72,0.08944326422243902,0.667411301780458
73,0.08360207217475629,0.6818371941578362
74,0.09196017040538189,0.6642720111133007
75,0.09242590852922189,0.6598568916069658
76,0.08339195590725391,0.6790292524143097
77,0.08259047125206077,0.6942595386060115
78,0.08315485217229705,0.6816125848902715
79,0.08700809353364274,0.6603071147668685
80,0.08685948477938016,0.6766702759424493
81,0.08327149417422032,0.6895481973419787
82,0.07584569769626061,0.6924366740739509
83,0.08035239133547997,0.705846896850019
84,0.0936651472331044,0.6608415208925489
85,0.09120790641046073,0.6441989116454392
86,0.09582160617237255,0.6632382270632958
87,0.09312567321204719,0.6397709001820269
88,0.08010917239427358,0.6781122044984735
89,0.07779592564921872,0.6857792146354582
90,0.08049555660449793,0.685448210603661
91,0.08836994631286076,0.6747730567126211
92,0.07715094918710858,0.6811576249615457
93,0.0780640931177569,0.7020040210379463
94,0.08173553129007094,0.6862940476730026
95,0.0787295065078745,0.6853666419550877
96,0.08228636937037703,0.6794762860129033
97,0.07643213137431157,0.6914912077537853
98,0.08759084445327163,0.675864603486326
99,0.08706500890978579,0.6685990840528484
100,0.07748720089834008,0.6918972365360344
