video,frame,filament_id,z_index,xy_robust_length_um,xy_span_length_um,xy_arc_length_um,xy_length_um,xy_pixel_length,xy_pixel_count
ch20_URA7_URA8_001_hyperstack_crop_01,6,3,1,0.3000000000000007,0.3000000000000007,0.3000000000000007,0.3000000000000007,1.0000000000000024,2
ch20_URA7_URA8_001_hyperstack_crop_01,6,3,2,0.3333333333333341,0.3000000000000007,0.3000000000000007,0.3333333333333341,1.1111111111111136,4
ch20_URA7_URA8_001_hyperstack_crop_01,6,5,0,0.6535373831014666,0.6640783086353612,1.3242640687119316,1.3242640687119316,4.414213562373106,5
ch20_URA7_URA8_001_hyperstack_crop_01,7,5,0,1.3217564626804572,1.3152022044449976,2.01509676003153,2.01509676003153,6.7169892001051,17
ch20_URA7_URA8_001_hyperstack_crop_01,7,5,1,1.3217564626804579,1.3152022044449965,2.0150967600315237,2.0150967600315237,6.716989200105079,17
ch20_URA7_URA8_001_hyperstack_crop_01,7,5,2,0.777817459305204,0.8485281374238565,1.0242640687119273,1.0242640687119273,3.4142135623730914,8
ch20_URA7_URA8_001_hyperstack_crop_01,8,5,0,0.6666666666666682,0.6000000000000014,0.6000000000000014,0.6666666666666682,2.222222222222227,6
ch20_URA7_URA8_001_hyperstack_crop_01,8,5,1,0.6535373831014637,0.6640783086353581,0.9354101966249664,0.9354101966249664,3.1180339887498882,5
ch20_URA7_URA8_001_hyperstack_crop_01,9,5,0,0.9999999999999984,1.1999999999999993,1.1999999999999993,1.1999999999999993,3.999999999999998,11
ch20_URA7_URA8_001_hyperstack_crop_01,9,5,1,0.9284824288289855,0.948180387734642,1.6596742653368965,1.6596742653368965,5.532247551122989,9
ch20_URA7_URA8_001_hyperstack_crop_01,9,5,2,0.424264068711927,0.424264068711927,0.5999999999999979,0.5999999999999979,1.999999999999993,3
ch20_URA7_URA8_001_hyperstack_crop_01,10,5,0,1.1869479051259277,1.1317217265649928,2.010737752093146,2.010737752093146,6.702459173643821,13
ch20_URA7_URA8_001_hyperstack_crop_01,10,5,1,0.94868329805051,0.9486832980505127,1.4742640687119253,1.4742640687119253,4.914213562373084,11
ch20_URA7_URA8_001_hyperstack_crop_01,10,5,2,0.6535373831014637,0.6640783086353581,1.324264068711928,1.324264068711928,4.414213562373094,5
ch20_URA7_URA8_001_hyperstack_crop_01,10,5,3,0.3000000000000007,0.3000000000000007,0.3000000000000007,0.3000000000000007,1.0000000000000024,2
ch20_URA7_URA8_001_hyperstack_crop_01,11,5,0,0.6666666666666682,0.6000000000000014,0.6000000000000014,0.6666666666666682,2.222222222222227,6
ch20_URA7_URA8_001_hyperstack_crop_01,11,5,1,0.424264068711927,0.424264068711927,0.5999999999999979,0.5999999999999979,1.999999999999993,3
ch20_URA7_URA8_001_hyperstack_crop_01,12,5,0,0.9999999999999984,0.8999999999999986,0.8999999999999986,0.9999999999999984,3.333333333333328,12
ch20_URA7_URA8_001_hyperstack_crop_01,12,5,1,0.811240213975728,0.8213991839561008,1.4485281374238492,1.4485281374238492,4.828427124746164,7
ch20_URA7_URA8_001_hyperstack_crop_01,13,5,0,1.1890414627764228,1.2329137783455384,3.491339647976093,3.491339647976093,11.637798826586979,12
ch20_URA7_URA8_001_hyperstack_crop_01,13,5,1,1.094201772466833,1.2368452178918639,3.0670755792641637,3.0670755792641637,10.22358526421388,11
ch20_URA7_URA8_001_hyperstack_crop_01,13,5,2,0.6666666666666682,0.6000000000000014,0.6000000000000014,0.6666666666666682,2.222222222222227,6
ch20_URA7_URA8_001_hyperstack_crop_01,14,5,0,0.900000000000002,0.9000000000000021,0.9000000000000021,0.9000000000000021,3.000000000000007,4
ch20_URA7_URA8_001_hyperstack_crop_01,14,5,1,0.900000000000002,0.9000000000000021,0.9000000000000021,0.9000000000000021,3.000000000000007,4
ch20_URA7_URA8_001_hyperstack_crop_01,15,5,0,0.9243434230409951,0.9340242993533548,2.048528137423858,2.048528137423858,6.828427124746194,7
ch20_URA7_URA8_001_hyperstack_crop_01,15,5,1,1.0645087321238216,1.0424877553894958,1.7218062996928627,1.7218062996928627,5.739354332309542,10
ch20_URA7_URA8_001_hyperstack_crop_01,15,5,2,0.9438739957368673,0.9485675696750251,2.2339383340488257,2.2339383340488257,7.446461113496086,8
ch20_URA7_URA8_001_hyperstack_crop_01,15,5,3,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.9999999999999906,2
ch20_URA7_URA8_001_hyperstack_crop_01,16,5,0,1.8579558291238147,1.8932970449813749,4.590264896472981,4.590264896472981,15.30088298824327,26
ch20_URA7_URA8_001_hyperstack_crop_01,16,5,1,1.6666666666666665,1.5000000000000004,1.5708203932499392,1.6666666666666665,5.555555555555555,28
ch20_URA7_URA8_001_hyperstack_crop_01,16,5,2,1.3394067294505196,1.4993531280736745,2.6880951215419397,2.6880951215419397,8.960317071806466,18
ch20_URA7_URA8_001_hyperstack_crop_01,16,5,3,0.6666666666666682,0.6000000000000014,0.6000000000000014,0.6666666666666682,2.222222222222227,9
ch20_URA7_URA8_001_hyperstack_crop_01,17,5,0,1.3710783104550528,1.4762249389646376,2.4300401578686492,2.4300401578686492,8.100133859562165,19
ch20_URA7_URA8_001_hyperstack_crop_01,17,5,1,1.3740123003148623,1.368842332138101,2.0015464865843255,2.0015464865843255,6.671821621947752,21
ch20_URA7_URA8_001_hyperstack_crop_01,17,5,2,1.0347346988500978,1.016989298863336,2.1650967600315347,2.1650967600315347,7.216989200105116,13
ch20_URA7_URA8_001_hyperstack_crop_01,17,5,3,0.7778174593052041,0.8485281374238566,1.0242640687119295,1.0242640687119295,3.4142135623730985,8
ch20_URA7_URA8_001_hyperstack_crop_01,18,5,0,0.7778174593052044,0.8485281374238566,1.0242640687119273,1.0242640687119273,3.4142135623730914,8
ch20_URA7_URA8_001_hyperstack_crop_01,18,5,1,0.7778174593052044,0.8485281374238566,1.0242640687119273,1.0242640687119273,3.4142135623730914,8
ch20_URA7_URA8_001_hyperstack_crop_01,18,5,2,0.0,0.0,0.0,0.0,0.0,1
ch20_URA7_URA8_001_hyperstack_crop_01,19,5,0,0.6535373831014637,0.6640783086353581,0.9354101966249664,0.9354101966249664,3.1180339887498882,5
ch20_URA7_URA8_001_hyperstack_crop_01,19,5,1,0.3000000000000007,0.3000000000000007,0.3000000000000007,0.3000000000000007,1.0000000000000024,2
ch20_URA7_URA8_001_hyperstack_crop_01,20,5,0,1.7490861899136103,1.913501819699418,2.3485281374238567,2.3485281374238567,7.828427124746189,17
ch20_URA7_URA8_001_hyperstack_crop_01,20,5,1,1.521250855763447,1.6407165062959237,2.298065712118515,2.298065712118515,7.6602190403950505,19
ch20_URA7_URA8_001_hyperstack_crop_01,20,5,2,1.0000000000000024,0.9000000000000021,0.9000000000000021,1.0000000000000024,3.3333333333333415,12
ch20_URA7_URA8_001_hyperstack_crop_01,21,5,0,1.4366223884663052,1.6125233983279972,2.6118096247055056,2.6118096247055056,8.706032082351685,17
ch20_URA7_URA8_001_hyperstack_crop_01,21,5,1,1.4018756821330136,1.4133165320731529,1.8418941133868332,1.8418941133868332,6.1396470446227775,18
ch20_URA7_URA8_001_hyperstack_crop_01,21,5,2,0.6666666666666682,0.6000000000000014,0.6000000000000014,0.6666666666666682,2.222222222222227,9
ch20_URA7_URA8_001_hyperstack_crop_01,22,5,0,1.9788680871494557,2.1038031357448546,4.5722160801375225,4.5722160801375225,15.240720267125075,23
ch20_URA7_URA8_001_hyperstack_crop_01,22,5,1,1.618013318161446,1.693314616053973,2.048528137423858,2.048528137423858,6.828427124746194,13
ch20_URA7_URA8_001_hyperstack_crop_01,23,5,0,1.037089945740272,1.0606601717798236,1.0606601717798236,1.0606601717798236,3.5355339059327457,13
ch20_URA7_URA8_001_hyperstack_crop_01,23,5,1,1.06627571026592,1.0728060172638116,2.521475504186298,2.521475504186298,8.40491834728766,11
ch20_URA7_URA8_001_hyperstack_crop_01,33,5,0,0.0,0.0,0.0,0.0,0.0,1
ch20_URA7_URA8_001_hyperstack_crop_01,35,5,0,0.6666666666666682,0.6000000000000014,0.6000000000000014,0.6666666666666682,2.222222222222227,9
ch20_URA7_URA8_001_hyperstack_crop_01,35,5,1,1.0509691461788278,1.081489958457623,2.109674265336899,2.109674265336899,7.032247551122998,12
ch20_URA7_URA8_001_hyperstack_crop_02,3,1,0,0.8013876853447556,0.8485281374238591,0.8485281374238591,0.8485281374238591,2.8284271247461974,7
ch20_URA7_URA8_001_hyperstack_crop_02,5,1,0,3.386693242946785,3.896477620434573,7.622751114143042,7.622751114143042,25.409170380476805,75
ch20_URA7_URA8_001_hyperstack_crop_02,5,1,1,2.7300898888755185,2.8254311715470126,6.272770987353834,6.272770987353834,20.90923662451278,54
ch20_URA7_URA8_001_hyperstack_crop_02,5,1,2,2.306507901326815,2.5342496948833015,3.9004754809339492,3.9004754809339492,13.001584936446498,36
ch20_URA7_URA8_001_hyperstack_crop_02,5,1,3,1.3661621024511448,1.437713640846999,2.6014946756294175,2.6014946756294175,8.671648918764726,21
ch20_URA7_URA8_001_hyperstack_crop_02,6,1,0,2.3135573284260356,2.1194386647753993,10.487481017740672,10.487481017740672,34.95827005913557,37
ch20_URA7_URA8_001_hyperstack_crop_02,6,1,1,1.9951903264312065,1.9050253813664881,7.665320362781847,7.665320362781847,25.55106787593949,28
ch20_URA7_URA8_001_hyperstack_crop_02,6,1,2,1.18904146277642,1.2329137783455346,3.1024857758891295,3.1024857758891295,10.341619252963765,12
ch20_URA7_URA8_001_hyperstack_crop_02,6,1,3,0.8499999999999999,0.8999999999999988,0.8999999999999988,0.8999999999999988,2.999999999999996,10
ch20_URA7_URA8_001_hyperstack_crop_02,7,1,0,2.831142361739892,2.836687618731035,6.444233168098274,6.444233168098274,21.480777226994245,51
ch20_URA7_URA8_001_hyperstack_crop_02,7,1,1,3.664041008913066,3.897611231692563,7.57345003451312,7.57345003451312,25.244833448377065,45
ch20_URA7_URA8_001_hyperstack_crop_02,7,1,2,1.3973241421250338,1.4998770122802574,2.8849556665704768,2.8849556665704768,9.616518888568256,21
ch20_URA7_URA8_001_hyperstack_crop_02,7,1,3,1.0522759639414327,1.0250515559599822,1.715096760031529,1.715096760031529,5.716989200105097,11
ch20_URA7_URA8_001_hyperstack_crop_02,9,1,0,2.488284132460503,2.57533889078596,3.4970562748477163,3.4970562748477163,11.656854249492389,23
ch20_URA7_URA8_001_hyperstack_crop_02,9,1,1,1.6783366548669547,1.7489783738042752,1.7505073664334592,1.7505073664334592,5.835024554778197,4
ch20_URA7_URA8_001_hyperstack_crop_02,11,1,0,2.7051507593764383,3.3513982563885714,12.17162435932256,12.17162435932256,40.57208119774187,43
ch20_URA7_URA8_001_hyperstack_crop_02,11,1,1,3.014964224405301,3.1741197798886933,6.267993096565367,6.267993096565367,20.893310321884556,44
ch20_URA7_URA8_001_hyperstack_crop_02,11,1,2,2.538764257765202,2.7604002450556275,5.857148332722451,5.857148332722451,19.523827775741506,34
ch20_URA7_URA8_001_hyperstack_crop_02,11,1,3,1.737438325464223,1.8133389020722646,4.817451341796144,4.817451341796144,16.058171139320482,24
ch20_URA7_URA8_001_hyperstack_crop_02,12,1,0,2.8261781429630486,3.0563373822931816,6.25623472500971,6.25623472500971,20.854115750032367,48
ch20_URA7_URA8_001_hyperstack_crop_02,12,1,1,2.643562104406351,2.808839262241257,5.330302499225841,5.330302499225841,17.76767499741947,35
ch20_URA7_URA8_001_hyperstack_crop_02,12,1,2,0.4242640687119283,0.42426406871192834,0.5999999999999996,0.5999999999999996,1.999999999999999,3
ch20_URA7_URA8_001_hyperstack_crop_02,12,1,3,0.0,0.0,0.0,0.0,0.0,1
ch20_URA7_URA8_001_hyperstack_crop_02,13,1,0,3.6639001097606085,3.7050387695355136,11.532823623736624,11.532823623736624,38.442745412455416,41
ch20_URA7_URA8_001_hyperstack_crop_02,13,1,1,3.1745804497990098,3.2154997218520434,6.319261453927769,6.319261453927769,21.0642048464259,43
ch20_URA7_URA8_001_hyperstack_crop_02,13,1,2,1.3964208829301588,1.4569479918459254,2.622792206135789,2.622792206135789,8.742640687119296,18
ch20_URA7_URA8_001_hyperstack_crop_02,14,1,0,3.312771770744212,3.4510839633220423,7.097755258407659,7.097755258407659,23.659184194692198,66
ch20_URA7_URA8_001_hyperstack_crop_02,14,1,1,3.172971490703457,3.325706948890213,6.849359870645768,6.849359870645768,22.831199568819226,59
ch20_URA7_URA8_001_hyperstack_crop_02,14,1,2,2.3310311064490468,2.5631446522321664,3.868259134930099,3.868259134930099,12.894197116433665,30
ch20_URA7_URA8_001_hyperstack_crop_02,14,1,3,1.2912043569678842,1.3396249462356185,2.683938334048831,2.683938334048831,8.946461113496104,10
ch20_URA7_URA8_001_hyperstack_crop_02,15,1,0,3.0233459558189737,3.365288696257485,5.842522833577707,5.842522833577707,19.47507611192569,68
ch20_URA7_URA8_001_hyperstack_crop_02,15,1,1,2.5167051526466966,2.644759471257669,5.2262756029203095,5.2262756029203095,17.420918676401033,54
ch20_URA7_URA8_001_hyperstack_crop_02,15,1,2,2.3347558622699958,2.5780624158823042,4.503725980530961,4.503725980530961,15.012419935103203,47
ch20_URA7_URA8_001_hyperstack_crop_02,15,1,3,1.9327585352432308,2.1213203435596437,2.4727922061357877,2.4727922061357877,8.242640687119293,39
ch20_URA7_URA8_001_hyperstack_crop_02,15,1,4,0.6666666666666655,0.6000000000000005,0.7242640687119257,0.7242640687119257,2.414213562373086,7
ch20_URA7_URA8_001_hyperstack_crop_02,16,1,0,3.146580080021058,3.457806405685328,8.221981936928499,8.221981936928499,27.40660645642833,64
ch20_URA7_URA8_001_hyperstack_crop_02,16,1,1,2.9309478287260777,3.2087990843936876,9.787801079281776,9.787801079281776,32.62600359760592,59
ch20_URA7_URA8_001_hyperstack_crop_02,16,1,2,2.706007448717672,2.9685946470375146,7.724655128290562,7.724655128290562,25.748850427635205,46
