video,filament_id,observations,first_frame,last_frame,lifetime_min,mean_length_um,max_length_um,mean_span_length_um,mean_arc_length_um,length_change_rate_um_per_min,arc_trajectory_um,net_displacement_um,directionality,mean_speed_um_per_min,max_speed_um_per_min,speed_std_um_per_min,mean_z_plane_count,max_z_plane_count,z_spread_um,z_center_um,mean_intensity,sum_intensity,max_intensity,start_x_um,start_y_um,start_z_um,end_x_um,end_y_um,end_z_um
ch20_URA7_URA8_001_hyperstack_crop_01,5,18,6,35,435.0,1.2169117741621642,1.9034934577748177,1.2812551111799642,2.231162902128637,0.0008632376922327463,40.16093223831547,0.742005005759013,0.06601003109291001,0.03962312019212295,0.0739706401135361,0.018052041637814504,2.7222222222222223,4,0.8999999999999999,0.19873265154205735,135.8115988837348,72508.0,165.0,22.44,24.119999999999997,0.0,21.842857142857138,23.714285714285715,0.17142857142857137
ch20_URA7_URA8_001_hyperstack_crop_02,1,43,3,49,690.0,3.4036509676363607,6.647334924290843,3.772752368454335,7.758556914584619,0.007164298652989677,333.6179473271386,4.102550443186394,0.10751587882069538,0.05770632955771457,0.36185484357375924,0.059629305606403615,4.0,5,1.2,0.3121028897670326,171.7457495401072,958561.0,230.0,20.699999999999996,16.5,0.0,16.924999999999997,14.916666666666666,0.2708333333333333
ch20_URA7_URA8_001_hyperstack_crop_03,3,5,45,49,60.0,2.599509779967253,3.5857086915705016,2.8331144174005196,5.796640471638404,-0.04083657661535023,28.98320235819202,2.956372030259618,0.8443558351004252,0.05835557133934327,0.10612286385270761,0.030564959125442784,3.4,4,0.8999999999999999,0.24711016215383935,154.16278991699218,55977.0,188.0,14.547945205479452,15.735616438356162,0.2013698630136986,16.049999999999997,13.189285714285713,0.21428571428571422
ch20_URA7_URA8_001_hyperstack_crop_03,5,15,5,49,660.0,2.682410952675005,4.448385439620648,2.8928703313322774,5.444096517924221,0.003284283246769912,81.66144776886331,1.7814712171524212,0.09699941804982153,0.050267103559890614,0.12203548418995804,0.030696961442154773,3.533333333333333,5,1.2,0.2976825899161367,152.40951538085938,169096.0,194.0,23.27,15.659999999999998,0.10999999999999997,24.380124223602483,14.312422360248446,0.4639751552795031
ch20_URA7_URA8_001_hyperstack_crop_04,8,19,2,32,450.0,1.4814086526780472,2.485822337038137,1.5785070996139454,2.6192050322195763,-0.00023930266155266721,49.76489561217195,0.8484322472104122,0.04876175387331205,0.053508687605264546,0.11756330480438112,0.03362925289256921,3.1578947368421053,5,1.2,0.4600080269934272,141.00295297723068,94666.0,173.0,19.661538461538463,25.338461538461537,0.023076923076923075,18.95,25.799999999999997,0.0
ch20_URA7_URA8_001_hyperstack_crop_05,1,13,37,49,180.0,2.4495970648502925,3.704544880528334,2.644835692672022,5.371027063917048,-0.003344655934197026,69.82335183092162,1.9349780735823527,0.24838435178674043,0.04327920865078622,0.09790744714418734,0.022178194157762704,3.5384615384615383,5,1.2,0.25660508668798365,136.6317842923678,123871.0,164.0,19.91739130434783,21.56086956521739,0.10434782608695652,19.944230769230767,19.626923076923074,0.16153846153846152
ch20_URA7_URA8_001_hyperstack_crop_06,4,2,5,13,120.0,2.549850612596619,4.155542339839495,2.6143281858658347,3.4419606547291597,-0.026761528787381268,6.883921309458319,2.3148312346627784,1.0,0.019290260288856487,0.019290260288856487,0.0,2.5,3,0.6,0.11907692307692305,153.9000015258789,5847.0,171.0,14.184000000000001,13.871999999999998,0.19199999999999995,15.876923076923077,12.3,0.04615384615384615
ch20_URA7_URA8_001_hyperstack_crop_08,1,9,41,49,120.0,2.5777374322918014,3.9220360800827985,2.7867143462824533,4.5492220551987455,0.016358321976077925,40.94299849678871,1.6193925843811607,0.21068848448670946,0.06405161742016147,0.1440052082391469,0.044642100254086485,2.6666666666666665,4,0.8999999999999999,0.17725823003773314,153.24387783474393,56292.0,180.0,17.82,15.36,0.12,18.05546218487395,16.9563025210084,0.2571428571428572
ch20_URA7_URA8_001_hyperstack_crop_08,4,6,34,48,210.0,1.9643538100307865,3.150826116217042,1.9476020729304124,3.3802571048269296,-0.005570647399443439,20.281542628961578,2.062506400732179,0.36368329744207023,0.0326490499951377,0.052676348412127046,0.012071748038205316,2.1666666666666665,3,0.6,0.14726143421795593,147.9850336710612,19545.0,181.0,18.78,24.78,0.08571428571428569,17.721428571428568,26.549999999999994,0.10714285714285714
ch20_URA7_URA8_001_hyperstack_crop_09,1,16,31,49,270.0,2.9517161568547636,3.775491072110677,3.395845964780145,5.5525619067489345,0.008179270933908779,88.84099050798295,1.028571512962458,0.1033405470914489,0.038205954798496304,0.07829806302348968,0.021384914171161146,4.0625,5,1.2,0.3561177121907279,168.09235763549805,345199.0,246.0,19.799999999999997,18.45,0.0,19.090434782608693,19.106086956521736,0.3521739130434782
