video,frame,filament_id,voxel_count,volume_um3,z_plane_count,centroid_x_um,centroid_y_um,centroid_z_um,z_spread_um,robust_length_um,span_length_um,arc_length_um,mean_intensity,sum_intensity,max_intensity
ch20_URA7_URA8_001_hyperstack_crop_01,6,3,6,0.16199999999999998,2,20.6,13.949999999999998,0.5,0.3,0.4714045207910323,0.42426406871192907,0.6000000000000008,135.5,813.0,141.0
ch20_URA7_URA8_001_hyperstack_crop_01,6,5,5,0.13499999999999998,1,22.44,24.119999999999997,0.0,0.0,0.6535373831014666,0.6640783086353612,1.3242640687119316,133.39999389648438,667.0,142.0
ch20_URA7_URA8_001_hyperstack_crop_01,7,5,42,1.134,3,21.957142857142856,23.285714285714285,0.23571428571428568,0.6,1.337459786607344,1.400380316880201,2.1519236667779937,138.11904907226562,5801.0,153.0
ch20_URA7_URA8_001_hyperstack_crop_01,8,5,11,0.29699999999999993,2,21.70909090909091,23.318181818181817,0.13636363636363635,0.3,0.8154728822747676,0.8589884057139265,1.275684033060467,138.09091186523438,1519.0,148.0
ch20_URA7_URA8_001_hyperstack_crop_01,9,5,23,0.6209999999999999,3,22.173913043478255,22.995652173913047,0.1956521739130435,0.6,1.0801382869550686,1.2677479496863717,2.59178041523408,138.30435180664062,3181.0,155.0
ch20_URA7_URA8_001_hyperstack_crop_01,10,5,31,0.8369999999999999,4,22.248387096774195,23.21612903225806,0.26129032258064516,0.8999999999999999,1.238825797412098,1.4227835727466613,2.723948509791756,137.19354248046875,4253.0,151.0
ch20_URA7_URA8_001_hyperstack_crop_01,11,5,9,0.24299999999999997,2,22.966666666666665,23.333333333333332,0.09999999999999999,0.3,0.7378647873726233,0.664078308635361,1.3854101966249686,139.44444274902344,1255.0,154.0
ch20_URA7_URA8_001_hyperstack_crop_01,12,5,19,0.513,2,22.83157894736842,22.878947368421056,0.1105263157894737,0.3,1.041229547004878,0.9511868865773876,2.2307059749132896,137.1052703857422,2605.0,150.0
ch20_URA7_URA8_001_hyperstack_crop_01,13,5,29,0.7829999999999999,3,22.551724137931025,22.220689655172414,0.23793103448275857,0.6,1.2337195353680406,1.24756200957878,2.979095366337626,137.9310302734375,4000.0,149.0
ch20_URA7_URA8_001_hyperstack_crop_01,14,5,8,0.216,2,23.099999999999998,22.349999999999998,0.15,0.3,1.0000000000000024,0.9000000000000021,0.9000000000000021,137.5,1100.0,143.0
ch20_URA7_URA8_001_hyperstack_crop_01,15,5,27,0.7289999999999999,4,23.177777777777777,23.13333333333333,0.35555555555555557,0.8999999999999999,1.3673662179061683,1.367551810666046,1.7527667393082764,138.48147583007812,3739.0,165.0
ch20_URA7_URA8_001_hyperstack_crop_01,16,5,81,2.187,4,22.599999999999998,23.785185185185185,0.337037037037037,0.8999999999999999,1.7778098758827863,1.995955030049735,4.66777556040169,134.20986938476562,10871.0,149.0
