track_id,start_frame,end_frame,n_observations,mean_length_px,mean_length_um
0,0,0,1,9.242640687119284,1.7006458864299483
1,4,5,2,11.121320343559642,2.046322943214974
2,5,5,1,8.414213562373096,1.5482152954766497
3,6,8,3,21.70423279073603,3.993578833495429
4,9,9,1,3.82842712474619,0.704430590953299
5,10,10,1,22.798989873223334,4.195014136673094
6,11,11,1,6.242640687119285,1.1486458864299485
7,12,12,1,11.65685424949238,2.144861181906598
8,39,39,1,11.071067811865476,2.0370764773832475
9,41,41,1,9.485281374238571,1.7452917728598971
10,49,50,2,2.2071067811865475,0.40610764773832475
11,50,50,1,9.65685424949238,1.7768611819065978
12,51,51,1,3.414213562373095,0.6282152954766494
13,52,52,1,8.414213562373096,1.5482152954766497
14,53,53,1,5.414213562373095,0.9962152954766494
15,78,78,1,3.0,0.552
