frame,filament_id,size_px,length_px,z,y,x
6,1,32,9.1,0.34375,57.1875,59.15625
30,1,25,8.12,0.96,57.0,59.92
31,1,36,10.43,0.75,53.05555555555556,57.361111111111114
32,1,72,16.13,1.2361111111111112,53.30555555555556,59.986111111111114
33,1,60,13.07,0.85,52.06666666666667,62.93333333333333
34,1,35,7.62,0.7142857142857143,50.97142857142857,54.6
35,1,33,8.27,0.6666666666666666,55.15151515151515,64.3030303030303
36,1,54,10.7,0.9629629629629629,58.75925925925926,65.20370370370371
37,1,53,11.33,0.8301886792452831,59.56603773584906,64.84905660377359
38,1,68,15.12,0.8235294117647058,58.5735294117647,62.955882352941174
39,1,37,10.35,0.7027027027027027,59.027027027027025,61.37837837837838
40,1,34,9.46,0.7647058823529411,58.294117647058826,63.88235294117647
