frame,filament_id,size_px,length_px,z,y,x
14,3,10,8.17,0.2,66.2,56.8
15,3,6,3.58,0.0,65.5,61.0
34,3,49,9.86,0.4489795918367347,64.81632653061224,67.06122448979592
37,3,25,6.26,0.24,70.8,67.76
38,3,38,9.47,0.47368421052631576,71.1842105263158,65.26315789473684
39,3,23,7.08,0.6086956521739131,68.26086956521739,65.1304347826087
41,3,8,3.7,0.125,74.125,62.875
43,3,34,9.38,0.17647058823529413,71.11764705882354,65.55882352941177
46,3,41,9.61,0.34146341463414637,77.2439024390244,58.926829268292686
47,3,9,3.46,0.4444444444444444,79.0,57.0
48,3,88,15.24,0.5568181818181818,74.76136363636364,53.55681818181818
49,3,52,14.82,0.6153846153846154,72.3076923076923,54.32692307692308
