frame,filament_id,size_px,length_px,z,y,x
11,3,6,21.99,0.16666666666666666,58.666666666666664,65.16666666666667
12,4,31,12.07,0.03225806451612903,79.83870967741936,62.38709677419355
13,4,20,19.25,0.2,77.25,60.5
19,3,24,13.07,0.125,64.58333333333333,58.583333333333336
28,4,15,12.84,1.0666666666666667,86.93333333333334,59.13333333333333
29,4,52,12.18,0.5,85.5,57.53846153846154
30,4,46,10.91,0.13043478260869565,84.67391304347827,60.78260869565217
37,4,53,13.36,0.24528301886792453,86.24528301886792,61.886792452830186
46,4,6,4.2,0.6666666666666666,83.5,62.666666666666664
