frame,filament_id,size_px,length_px,z,y,x
7,7,15,11.58,0.26666666666666666,68.13333333333334,73.26666666666667
10,7,49,15.33,0.3469387755102041,68.73469387755102,70.55102040816327
12,7,12,10.71,0.4166666666666667,66.25,76.0
19,7,20,6.88,0.55,69.85,74.25
25,7,31,7.83,0.8387096774193549,73.41935483870968,77.80645161290323
26,7,78,12.91,1.0128205128205128,74.94871794871794,74.98717948717949
27,7,58,9.46,1.103448275862069,75.53448275862068,73.96551724137932
28,7,36,7.62,0.5277777777777778,71.55555555555556,71.69444444444444
29,7,85,16.91,0.8470588235294118,71.08235294117647,73.34117647058824
30,7,36,8.7,0.7777777777777778,69.86111111111111,71.25
31,7,72,19.13,0.3472222222222222,68.65277777777777,72.52777777777777
32,7,18,13.11,0.3333333333333333,67.05555555555556,72.83333333333333
33,7,25,16.88,0.56,66.08,75.92
35,7,12,11.61,0.16666666666666666,68.91666666666667,77.83333333333333
36,7,9,3.46,0.7777777777777778,72.0,77.0
37,7,15,11.41,0.6,72.73333333333333,76.73333333333333
40,7,19,10.8,0.47368421052631576,72.36842105263158,69.78947368421052
42,7,19,27.44,0.5789473684210527,70.21052631578948,76.94736842105263
43,7,29,14.93,1.4482758620689655,70.86206896551724,79.79310344827586
44,7,26,10.5,1.1538461538461537,71.1923076923077,79.15384615384616
45,7,26,10.51,1.1923076923076923,75.26923076923077,77.61538461538461
46,7,47,17.81,0.8297872340425532,75.27659574468085,75.91489361702128
47,7,38,15.86,0.9736842105263158,74.47368421052632,75.63157894736842
48,7,43,20.44,0.6744186046511628,72.02325581395348,71.16279069767442
49,7,57,19.01,0.8421052631578947,69.42105263157895,71.9298245614035
