frame,filament_id,size_px,length_px,z,y,x
4,2,36,9.45,0.6388888888888888,43.5,26.916666666666668
5,2,21,6.43,1.1904761904761905,44.61904761904762,29.952380952380953
6,2,26,7.02,1.2307692307692308,46.57692307692308,33.38461538461539
7,2,27,7.53,0.6666666666666666,48.851851851851855,19.555555555555557
11,2,10,7.76,0.8,42.4,23.9
12,2,23,6.16,0.9130434782608695,40.43478260869565,27.91304347826087
13,2,19,6.54,2.1052631578947367,39.21052631578947,26.473684210526315
14,2,6,3.58,2.5,41.0,27.5
29,5,7,3.27,0.14285714285714285,70.28571428571429,22.0
30,5,11,4.75,0.5454545454545454,69.45454545454545,20.818181818181817
38,5,9,5.25,0.4444444444444444,71.11111111111111,22.0
40,5,8,3.7,0.375,67.125,24.125
42,5,6,3.58,1.6666666666666667,65.0,24.5
43,5,8,3.7,1.375,64.125,24.125
44,5,6,3.35,0.8333333333333334,66.16666666666667,24.333333333333332
