frame,filament_id,size_px,length_px,z,y,x
1,1,10,4.62,0.3,35.0,61.5
2,1,25,6.63,1.32,32.44,58.72
3,1,49,10.95,1.530612244897959,38.57142857142857,64.08163265306122
4,1,55,15.7,0.7272727272727273,36.654545454545456,64.96363636363637
5,1,63,15.95,1.3968253968253967,36.61904761904762,63.20634920634921
6,1,62,14.77,1.564516129032258,39.38709677419355,64.08064516129032
7,1,67,14.56,1.3880597014925373,38.80597014925373,61.80597014925373
8,1,61,13.37,1.2950819672131149,37.36065573770492,62.0
9,1,45,9.07,1.4222222222222223,36.71111111111111,54.355555555555554
10,1,66,10.92,1.393939393939394,36.06060606060606,57.166666666666664
11,1,53,11.0,1.1886792452830188,36.264150943396224,56.471698113207545
12,1,47,10.34,1.1914893617021276,36.08510638297872,60.808510638297875
13,1,29,9.06,0.8275862068965517,41.93103448275862,54.172413793103445
14,1,57,12.82,0.8947368421052632,44.54385964912281,58.08771929824562
15,1,47,10.28,1.2553191489361701,39.361702127659576,56.212765957446805
17,1,36,7.9,1.1111111111111112,48.388888888888886,64.83333333333333
18,1,15,5.97,1.4666666666666666,47.46666666666667,65.6
18,2,11,4.56,0.45454545454545453,53.90909090909091,86.36363636363636
19,1,33,8.44,1.2424242424242424,46.78787878787879,67.48484848484848
19,2,44,11.51,0.2727272727272727,48.93181818181818,91.97727272727273
20,1,10,4.22,2.0,44.7,66.3
20,2,40,8.55,0.8,48.575,90.45
21,1,24,8.01,1.5416666666666667,42.958333333333336,67.33333333333333
21,2,59,12.14,0.864406779661017,46.30508474576271,91.67796610169492
22,1,18,6.58,1.5555555555555556,42.0,67.88888888888889
22,2,64,11.59,1.03125,44.75,91.921875
23,2,58,11.84,1.2758620689655173,43.56896551724138,92.93103448275862
24,1,43,8.56,1.4883720930232558,42.674418604651166,65.93023255813954
24,2,72,12.28,1.0694444444444444,42.72222222222222,92.875
25,1,19,5.89,2.3157894736842106,45.26315789473684,64.84210526315789
25,2,49,12.84,1.0204081632653061,44.08163265306123,91.81632653061224
26,1,17,6.6,2.0588235294117645,44.88235294117647,64.88235294117646
26,2,48,10.88,0.7291666666666666,44.458333333333336,91.89583333333333
27,2,44,10.22,0.6590909090909091,46.0,90.9090909090909
27,6,17,6.93,0.23529411764705882,66.11764705882354,72.0
28,1,6,3.43,2.8333333333333335,47.166666666666664,62.833333333333336
28,2,52,13.48,0.8461538461538461,45.01923076923077,89.8076923076923
28,6,34,7.55,0.4411764705882353,67.26470588235294,71.32352941176471
29,1,14,5.59,1.2142857142857142,47.07142857142857,62.142857142857146
29,2,50,12.46,0.66,44.38,88.98
29,6,11,5.22,0.2727272727272727,65.0,69.27272727272727
30,1,10,6.57,2.0,44.9,62.1
30,2,45,11.71,0.6666666666666666,42.044444444444444,89.42222222222222
30,6,23,6.33,0.6956521739130435,67.1304347826087,72.04347826086956
31,6,23,6.44,1.434782608695652,62.82608695652174,74.3913043478261
32,6,32,8.03,1.28125,59.28125,74.09375
33,6,49,10.28,0.6530612244897959,62.89795918367347,71.0204081632653
34,6,31,7.02,0.7096774193548387,64.58064516129032,71.38709677419355
35,6,66,11.9,0.6666666666666666,64.66666666666667,69.84848484848484
36,6,36,9.25,0.8888888888888888,67.22222222222223,67.25
37,6,44,10.79,0.5,68.9090909090909,67.36363636363636
38,6,48,10.32,0.5625,68.14583333333333,67.33333333333333
39,6,34,8.17,0.38235294117647056,66.88235294117646,65.11764705882354
40,6,106,17.15,0.42452830188679247,59.990566037735846,68.77358490566037
42,6,37,18.91,1.162162162162162,59.13513513513514,74.1891891891892
43,6,31,20.95,0.8709677419354839,61.354838709677416,74.45161290322581
44,6,9,3.46,0.3333333333333333,60.0,76.0
45,6,53,14.52,1.2452830188679245,69.58490566037736,65.05660377358491
46,6,53,16.43,0.7358490566037735,71.9245283018868,66.20754716981132
47,6,64,20.02,1.015625,66.4375,70.265625
48,6,42,10.24,0.7380952380952381,63.26190476190476,69.5
49,6,56,13.88,0.875,60.57142857142857,69.75
