frame,filament_id,size_px,length_px,z,y,x
2,6,12,5.73,0.0,69.91666666666667,75.91666666666667
5,6,6,4.2,0.6666666666666666,70.0,79.83333333333333
6,6,22,6.3,0.4090909090909091,67.5,80.0
7,3,31,12.99,0.45161290322580644,42.74193548387097,70.38709677419355
8,6,11,4.2,0.09090909090909091,61.54545454545455,73.63636363636364
9,6,10,4.32,0.9,58.8,74.9
10,6,19,5.22,0.6842105263157895,68.6842105263158,78.15789473684211
14,6,9,3.46,0.4444444444444444,63.0,80.0
15,6,17,5.72,0.4117647058823529,63.705882352941174,76.70588235294117
16,6,15,4.78,0.4666666666666667,72.4,76.6
16,8,8,3.7,1.75,91.125,68.875
17,6,11,4.48,0.5454545454545454,75.0909090909091,77.18181818181819
18,6,11,5.22,0.18181818181818182,73.72727272727273,78.0
18,8,10,4.62,0.7,86.5,77.0
19,6,15,5.38,0.3333333333333333,72.53333333333333,80.26666666666667
20,6,11,4.56,0.6363636363636364,72.36363636363636,79.0909090909091
21,6,15,5.24,0.6666666666666666,69.53333333333333,80.33333333333333
23,6,14,4.96,0.8571428571428571,63.5,81.5
24,6,28,7.24,1.0357142857142858,65.5,79.39285714285714
25,6,27,7.33,1.037037037037037,68.5925925925926,77.92592592592592
26,6,23,7.23,1.0,67.47826086956522,78.08695652173913
27,6,13,6.43,0.6153846153846154,68.23076923076923,77.3076923076923
28,6,14,4.96,0.5714285714285714,69.5,75.5
29,6,19,5.99,0.631578947368421,69.0,75.84210526315789
30,6,17,5.38,0.7058823529411765,69.05882352941177,75.82352941176471
31,6,14,5.66,0.7142857142857143,65.85714285714286,78.07142857142857
32,6,20,6.59,0.95,64.5,78.0
33,6,21,6.26,0.47619047619047616,62.857142857142854,80.14285714285714
34,6,12,5.26,0.6666666666666666,62.666666666666664,79.33333333333333
35,6,19,6.34,1.2105263157894737,64.84210526315789,78.42105263157895
36,6,11,4.56,0.5454545454545454,66.9090909090909,78.63636363636364
37,6,16,5.26,0.4375,69.625,79.0
38,6,7,3.27,0.14285714285714285,69.28571428571429,78.0
39,6,9,4.01,0.6666666666666666,67.33333333333333,77.22222222222223
40,8,7,3.27,0.42857142857142855,85.0,75.28571428571429
44,6,17,5.64,0.35294117647058826,65.41176470588235,81.58823529411765
45,6,16,5.42,0.8125,69.8125,77.8125
46,6,9,4.12,0.7777777777777778,72.66666666666667,78.11111111111111
47,6,11,4.56,1.0,67.63636363636364,75.9090909090909
48,6,7,3.27,1.0,73.71428571428571,74.0
49,6,18,6.2,0.8888888888888888,71.05555555555556,75.22222222222223
