frame,filament_id,size_px,length_px,z,y,x
2,5,68,10.54,0.7352941176470589,69.3529411764706,60.89705882352941
3,5,80,14.49,0.5,70.675,61.85
4,5,50,9.34,0.64,69.38,62.56
5,5,81,12.4,0.5061728395061729,68.8395061728395,63.30864197530864
6,5,71,12.95,0.4084507042253521,70.64788732394366,64.09859154929578
7,5,42,9.46,0.8809523809523809,70.02380952380952,60.904761904761905
8,5,63,10.66,0.746031746031746,69.07936507936508,60.476190476190474
9,5,51,11.62,0.7058823529411765,68.50980392156863,60.588235294117645
10,5,63,9.7,0.6666666666666666,68.74603174603175,60.714285714285715
11,5,51,11.05,0.6666666666666666,70.11764705882354,61.31372549019608
12,5,40,9.29,0.425,69.525,62.25
13,5,69,11.79,0.5507246376811594,67.84057971014492,62.01449275362319
14,5,37,9.66,0.8918918918918919,69.02702702702703,61.513513513513516
15,5,77,10.83,0.5714285714285714,71.63636363636364,61.77922077922078
16,5,43,10.17,0.5348837209302325,74.11627906976744,59.906976744186046
17,5,43,9.61,0.6046511627906976,75.62790697674419,60.093023255813954
18,5,67,10.52,0.746268656716418,75.56716417910448,60.80597014925373
19,5,32,8.5,0.71875,75.15625,61.3125
20,5,66,12.12,0.7272727272727273,74.5,61.803030303030305
21,5,47,10.64,0.574468085106383,72.93617021276596,63.1063829787234
22,5,44,9.63,0.5,71.6590909090909,63.09090909090909
23,5,35,9.36,0.6571428571428571,70.31428571428572,62.94285714285714
24,5,43,10.24,0.6046511627906976,71.86046511627907,61.16279069767442
25,5,45,9.15,0.37777777777777777,74.35555555555555,62.13333333333333
26,5,38,11.1,0.42105263157894735,75.07894736842105,61.81578947368421
27,5,29,8.5,0.6551724137931034,76.3103448275862,59.0
28,5,47,10.22,0.40425531914893614,75.44680851063829,59.8936170212766
29,5,44,11.79,0.6363636363636364,75.93181818181819,58.77272727272727
30,5,38,8.98,0.39473684210526316,75.52631578947368,58.526315789473685
31,5,47,9.86,0.3829787234042553,73.08510638297872,60.787234042553195
32,5,50,10.69,0.8,71.74,60.14
33,5,17,5.72,1.1176470588235294,70.70588235294117,60.705882352941174
34,5,63,11.02,0.5555555555555556,70.77777777777777,60.714285714285715
35,5,31,9.23,0.5806451612903226,72.41935483870968,59.87096774193548
36,5,45,9.26,0.6444444444444445,74.82222222222222,59.84444444444444
37,5,38,9.24,0.4473684210526316,76.8157894736842,60.71052631578947
38,5,45,9.34,0.6888888888888889,77.08888888888889,59.111111111111114
39,5,31,7.9,0.45161290322580644,74.83870967741936,58.16129032258065
40,5,43,8.57,0.7674418604651163,71.74418604651163,60.18604651162791
41,5,50,11.65,0.66,70.84,61.44
42,5,35,10.47,0.4,70.62857142857143,62.31428571428572
43,5,39,11.25,0.5897435897435898,70.7948717948718,62.38461538461539
44,5,64,11.43,0.5,72.15625,62.328125
45,5,31,10.67,0.8387096774193549,75.16129032258064,58.45161290322581
46,5,59,11.1,0.559322033898305,77.0677966101695,60.3728813559322
47,5,16,9.21,0.25,76.4375,60.75
48,5,33,12.56,0.15151515151515152,75.6969696969697,58.18181818181818
49,5,34,8.15,0.20588235294117646,74.0,59.5
