video,filament_id,observations,max_consecutive_frames,first_frame,last_frame,lifetime_min,min_length_um,mean_length_um,max_length_um,length_std_um,length_range_um,mean_span_length_um,mean_arc_length_um,max_xy_slice_length_um,mean_linearity_r2,min_linearity_r2,mean_rod_fit_rmse_um,mean_rod_fit_diameter_um,mean_rod_fit_cv,start_dominant_plane,end_dominant_plane,plane_switch_count,start_angle_to_xy_deg,end_angle_to_xy_deg,start_angle_to_xz_deg,end_angle_to_xz_deg,rotation_angle_deg,total_rotation_deg,xy_to_xz_transition_score,length_change_rate_um_per_min,arc_trajectory_um,net_displacement_um,directionality,mean_speed_um_per_min,max_speed_um_per_min,speed_std_um_per_min,mean_z_plane_count,max_z_plane_count,z_spread_um,z_center_um,mean_intensity,sum_intensity,max_intensity,start_x_um,start_y_um,start_z_um,end_x_um,end_y_um,end_z_um
ch20_URA7_URA8_001_hyperstack_crop_23,1,8,7,4,23,285.0,0.9361590134225481,3.631760506419924,6.28452677967485,1.850883693210287,5.348367766252301,3.9888444990851757,6.893651584487506,16.288650190793994,0.7955362890823829,0.5229771954747925,0.42097385913593827,0.8419477182718765,0.14511767619560198,xy,xy,0,0.4744260786633734,10.513756395858321,66.36488166784109,68.90796300892056,11.310896531150023,248.63329505930298,-68.43353693025719,-0.005399965946976829,55.149212675900046,3.076285759938442,0.2898638472192236,0.06989351505670435,0.12802901598409241,0.0347185684058789,4.125,5,1.2,0.34899391771747645,192.7899627685547,251440.0,345.0,15.417391304347827,11.152173913043478,0.13043478260869562,17.907692307692308,9.346153846153845,0.11538461538461539
ch20_URA7_URA8_001_hyperstack_crop_23,6,8,4,29,49,300.0,1.641347540589658,2.264906475129626,3.4103536524224607,0.595633964900108,1.7690061118328027,2.383569561882355,4.911892388567793,7.364489627466643,0.7435877687284519,0.5767568406546777,0.3736745521072462,0.7473491042144924,0.1748203812773788,xy,xy,0,0.8566430552793493,24.519527369563104,1.1287414271338025,24.64904422618398,35.868506949077634,120.39569689846167,-23.792401170904633,-0.0004891243330659046,39.295139108542344,1.353450072377711,0.17234048607125155,0.03820738329052757,0.07161142730552046,0.018376089365147473,2.75,4,0.8999999999999999,0.19438797112989747,169.39480018615723,76835.0,256.0,18.308823529411764,24.67941176470588,0.10588235294117646,18.978688524590165,23.522950819672133,0.31967213114754095
ch20_URA7_URA8_001_hyperstack_crop_24,3,28,22,6,49,645.0,0.7187365986260934,2.16031445204576,4.370398230149126,0.7769320504000606,3.651661631523033,2.3645188742223437,4.30987262041026,9.374569122810948,0.6974059305131737,0.5424691071265749,0.3782108533212501,0.7564217066425002,0.19240118952389848,xz,xy,3,6.119992522652613,9.790048479500976,1.7740670926898523,23.773301656225566,25.933566383809627,619.245134111616,-17.653309133572954,-0.0017480609259923278,120.67643337148729,0.6160266949482724,0.028133007043819217,0.040593041017230276,0.11324127779522179,0.024394037731441963,2.9642857142857144,5,1.2,0.1999820668521415,140.88846915108817,224813.0,175.0,20.5,16.866666666666667,0.25,19.939999999999998,16.61,0.24666666666666662
ch20_URA7_URA8_001_hyperstack_crop_28,4,7,3,12,46,510.0,0.8709806173148261,2.71969589126419,3.96377876883464,0.8803229671296853,3.0927981515198137,2.9331984618318576,6.001420959950671,8.20082261562678,0.7825477547103535,0.529916760290464,0.4226122815204328,0.8452245630408656,0.162115180922242,xy,yz,1,2.6553848223624734,20.73674031160318,14.751565880484822,68.87662256381917,81.00799018605349,227.17297067678544,-66.22123774145669,-0.0038420732229597883,42.0099467196547,1.1416725504320375,0.14204127996757415,0.03811248403468114,0.08398119129133529,0.033252706945610076,2.857142857142857,4,0.8999999999999999,0.2149819381328339,164.23091561453683,64258.0,196.0,18.578048780487805,23.963414634146343,0.07317073170731707,18.814285714285713,25.071428571428566,0.21428571428571427
ch20_URA7_URA8_001_hyperstack_crop_29,3,27,27,5,31,390.0,1.4178535587877117,2.685538396138589,4.35325133256415,0.7714726061807239,2.935397773776438,3.042642707374238,5.475864307231782,10.070520993918601,0.7284038842911417,0.4834312680570793,0.44216768042237,0.88433536084474,0.1766909694967022,xy,xz,3,14.29539155529066,2.4088411466499173,43.181323216799555,0.8966402711901299,46.705162513949915,545.5157269622146,13.39875128410053,0.0015751455286038894,147.84833629525812,1.375480638799632,0.05948242084691483,0.05929270165207972,0.1252153752205779,0.02706281602301372,3.7777777777777777,5,1.2,0.30368440688126036,156.2829273365162,403467.0,225.0,19.53272727272727,14.514545454545454,0.22363636363636358,20.15753424657534,15.73972602739726,0.2013698630136986
ch20_URA7_URA8_001_hyperstack_crop_30,1,18,18,32,49,255.0,1.1656102268116915,2.6982158560512284,4.1872574487816046,0.7849190709512084,3.0216472219699133,3.0534540131111703,5.356666103307266,13.807565374975562,0.6869942144104206,0.46496502286098756,0.49043828546959417,0.9808765709391883,0.1951987652064586,yz,xy,5,33.5830811843329,6.229186783226834,51.156671090504084,57.3408564578917,29.30566968175814,612.1978772115336,-23.7577752735588,0.00453569615288829,96.41998985953079,3.083220139744384,0.15619808507343472,0.07740849937988763,0.1925778935170287,0.04424719856119623,4.555555555555555,5,1.2,0.39560935990096735,178.38492499457465,397457.0,303.0,21.436666666666667,11.826666666666668,0.45000000000000007,19.366981132075473,14.10566037735849,0.280188679245283
ch20_URA7_URA8_001_hyperstack_crop_30,2,7,5,20,49,435.0,0.7999431660193501,3.4226941335957113,6.5439292095308605,2.616262707134682,5.74398604351151,4.012688751711404,5.387922586698676,8.845053694672279,0.7516689801015849,0.454255230541925,0.40007170855925545,0.8001434171185109,0.19296774996771943,xy,xy,2,3.9559557192491295,2.1271074209875036,46.61598403495269,59.16885428498728,73.90170105397206,148.71806881982275,-55.21289856573815,0.012090003798005074,37.71545810689073,2.4241747611651956,0.20142110456419168,0.06696988285192106,0.11615971047629087,0.04082000062510998,3.857142857142857,5,1.2,0.4163430773006563,159.8282012939453,62363.0,205.0,10.961538461538462,11.884615384615385,0.46153846153846156,12.281739130434783,13.917391304347827,0.42260869565217396
ch20_URA7_URA8_001_hyperstack_crop_32,1,43,35,5,49,660.0,0.7163353227321013,2.9920433074968216,5.511871912498004,1.1850569841470413,4.795536589765902,3.3945805518092333,8.264495831872898,24.60312648625933,0.6737964301137324,0.45400907022123055,0.570407334858919,1.140814669717838,0.20655060966250638,xy,yz,13,1.610541787530146,5.882670561763332,16.45240164678958,83.89819933110753,75.0794419115178,1265.314351608159,-82.28765754357738,-0.0017813947439748001,355.3733207705346,2.17895728253844,0.06043036262507697,0.05699561396310885,0.21393522043267202,0.04440196875834746,4.255813953488372,5,1.2,0.3721749026387769,166.52059262297874,946620.0,278.0,20.73939393939394,15.766666666666667,0.2515151515151516,18.750731707317073,16.602439024390243,0.5590243902439024
ch20_URA7_URA8_001_hyperstack_crop_33,4,11,6,18,46,420.0,0.7946293530595059,1.3774667356659214,3.320610327717822,0.6749700923653986,2.5259809746583164,1.4166964489071863,2.491715081745625,6.90587352669074,0.6417723664485272,0.46291098457249735,0.26831960885893485,0.5366392177178697,0.22375183258390602,xy,xy,2,1.8772919409265054,14.482479549369328,67.61237389904873,55.553285340696874,55.820655402001954,385.98756770964434,-53.67599339977037,-0.00046010039861531303,27.408865899201874,2.516707298237124,0.17734684134480996,0.055422869255710924,0.16434968075413928,0.04511328283995464,2.090909090909091,3,0.6,0.11165773015699286,145.4280145818537,31308.0,167.0,19.5,24.768749999999997,0.09375,18.380000000000003,27.02,0.2
ch20_URA7_URA8_001_hyperstack_crop_34,3,36,31,3,40,555.0,0.6535373831014631,1.5565384573149403,2.036773364816785,0.2962184449221614,1.383235981715322,1.7389302074672544,2.5090060275318673,4.770561592772227,0.5813009269066249,0.44420751007089276,0.3787315813736945,0.757463162747389,0.2452687220141246,xy,xy,11,0.0,15.490693464524742,26.051790670365662,47.82968673261737,76.83000077639986,1058.5150593764683,-47.82968673261737,-0.0010905336090532075,90.32421699114722,3.720526044739751,0.10914518997015198,0.05992033636088954,0.2138310818753058,0.03924854752554108,3.4722222222222223,5,1.2,0.2768172982618435,153.01386091444226,294102.0,253.0,20.863636363636363,17.89090909090909,0.0,17.26363636363636,16.98181818181818,0.23636363636363633
