video,mean_arc_length_um,std_arc_length_um,count,sem,ci95,length_threshold_um
ch20_URA7_URA8_001_hyperstack_crop_01,2.231162902128637,1.0646020194598147,18,0.2509291024083093,0.4918210407202862,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_02,7.758556914584619,3.7470701507275774,43,0.5714228409219331,1.119988768206989,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_03,5.5322325063527655,2.4382067657167044,20,0.5451996071342454,1.068591229983121,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_04,2.6192050322195763,1.5444890217453602,19,0.3543300823787378,0.6944869614623261,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_05,5.3710270639170465,2.7770074772661366,13,0.7702032962792272,1.5095984607072854,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_06,3.4419606547291597,3.144496517421902,2,2.2234948108865096,4.358049829337559,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_07,1.5027355824977726,0.0,1,0.0,0.0,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_08,4.081636075050019,2.238963572731562,15,0.5780979086636265,1.133071900980708,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_09,4.909323589278913,2.4181783326903674,19,0.554768156824052,1.0873455873751419,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_10,5.160680757559821,3.0383614500270393,21,0.6630248253992711,1.2995286577825713,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_11,5.976306745664462,3.9296756142018006,7,1.4852777726189947,2.9111444343332296,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_12,8.889100867352514,4.755135062762063,5,2.1265610485057405,4.168059655071251,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_13,5.66245254259919,3.7182139785014043,35,0.6284928727843013,1.2318460306572305,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_15,5.590125683169239,1.959416086540204,17,0.4752282052552739,0.9314472823003368,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_16,2.9588564059809324,1.4855325342262162,61,0.19020295072113275,0.3727977834134202,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_17,2.5902345775041864,1.4243235784347996,41,0.22244197139080374,0.43598626392597534,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_18,1.6496818649810943,0.0,1,0.0,0.0,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_19,5.880497147936457,3.425650415576873,43,0.5224067908347662,1.0239173100361416,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_20,4.829795425923271,3.015299444925778,30,0.5505158412062183,1.079011048764188,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_21,4.106354020840675,2.279788828172856,26,0.44710337391247007,0.8763226128684414,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_22,5.679621183764504,0.17908600847416645,3,0.10339535520065561,0.202654896193285,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_23,5.902771986527649,3.3305150037919558,16,0.8326287509479889,1.6319523518580583,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_24,4.309872620410261,1.788238535389333,28,0.3379453178216108,0.6623728229303572,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_25,4.911388692405408,2.842230917668445,4,1.4211154588342225,2.785386299315076,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_26,3.7771005347556788,0.9996309156472833,3,0.5771371782392312,1.131188869348893,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_28,5.792671657182759,2.807911160060284,9,0.9359703866867614,1.8345019579060522,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_29,5.475864307231782,1.7678770156691084,27,0.340228090296904,0.6668470569819318,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_30,5.365417918656861,2.814404047038565,25,0.562880809407713,1.1032463864391175,0.6522577197242748
