video,frame,filament_id,voxel_count,volume_um3,z_plane_count,centroid_x_um,centroid_y_um,centroid_z_um,z_spread_um,robust_length_um,span_length_um,arc_length_um,max_xy_slice_length_um,principal_axis_x,principal_axis_y,principal_axis_z,linearity_r2,rod_fit_rmse_um,rod_fit_diameter_um,rod_fit_cv,angle_to_xy_deg,angle_to_xz_deg,angle_to_yz_deg,dominant_plane,mean_intensity,sum_intensity,max_intensity
ch20_URA7_URA8_001_hyperstack_crop_01,6,3,6,0.16199999999999998,2,20.6,13.949999999999998,0.5,0.3,0.4714045207910323,0.42426406871192907,0.6000000000000008,0.3333333333333341,0.7071067811865492,2.220446049250313e-16,-0.7071067811865458,0.4799999999999995,0.1802775637731998,0.3605551275463996,0.3824264635194591,44.99999999999986,1.2722218725854067e-14,45.00000000000014,xz,135.5,813.0,141.0
ch20_URA7_URA8_001_hyperstack_crop_01,6,5,5,0.13499999999999998,1,22.44,24.119999999999997,0.0,0.0,0.6535373831014666,0.6640783086353612,1.3242640687119316,1.3242640687119316,-0.9486832980505138,0.316227766016838,0.0,0.75,0.1341640786499877,0.2683281572999754,0.20528906550577186,0.0,18.434948822922014,71.56505117707799,xy,133.39999389648438,667.0,142.0
ch20_URA7_URA8_001_hyperstack_crop_01,7,5,42,1.134,3,21.957142857142856,23.285714285714285,0.23571428571428568,0.6,1.337459786607344,1.400380316880201,2.1519236667779937,2.01509676003153,-0.648841984435918,-0.7211131998779747,0.242898810608467,0.5012243203811583,0.3719668743540432,0.7439337487080864,0.27811443609649733,14.05769389897429,46.14646492029046,40.45434925884445,xy,138.11904907226562,5801.0,153.0
ch20_URA7_URA8_001_hyperstack_crop_01,8,5,11,0.29699999999999993,2,21.70909090909091,23.318181818181817,0.13636363636363635,0.3,0.8154728822747676,0.8589884057139265,1.275684033060467,0.9354101966249664,-0.4168760388887869,-0.8337520777775854,0.36203845238034266,0.552811506971292,0.22187314384542922,0.44374628769085844,0.27207911957355646,21.225437247880112,56.48611873927635,24.637515266241294,xy,138.09091186523438,1519.0,148.0
ch20_URA7_URA8_001_hyperstack_crop_01,9,5,23,0.6209999999999999,3,22.173913043478255,22.995652173913047,0.1956521739130435,0.6,1.0801382869550686,1.2677479496863717,2.59178041523408,1.6596742653368965,-0.1739630773971193,-0.9380483136565109,0.29967016693141163,0.5630357755751506,0.28726178104777833,0.5745235620955567,0.2659490775552221,17.437793668587435,69.72633751897948,10.018321275826287,yz,138.30435180664062,3181.0,155.0
ch20_URA7_URA8_001_hyperstack_crop_01,10,5,31,0.8369999999999999,4,22.248387096774195,23.21612903225806,0.26129032258064516,0.8999999999999999,1.238825797412098,1.4227835727466613,2.723948509791756,2.010737752093146,0.20647948843837752,0.7674785331769618,-0.6069126147698407,0.43329665172916015,0.38272954686864935,0.7654590937372987,0.3089454123962948,37.366598143973356,50.12800013904593,11.916120618679951,yz,137.19354248046875,4253.0,151.0
ch20_URA7_URA8_001_hyperstack_crop_01,11,5,9,0.24299999999999997,2,22.966666666666665,23.333333333333332,0.09999999999999999,0.3,0.7378647873726233,0.664078308635361,1.3854101966249686,0.6666666666666682,-1.9504630380981028e-16,-0.9486832980505142,0.31622776601683683,0.6136363636363672,0.19436506316150895,0.3887301263230179,0.263415555922652,18.434948822921942,71.56505117707808,1.117533001792856e-14,yz,139.44444274902344,1255.0,154.0
ch20_URA7_URA8_001_hyperstack_crop_01,12,5,19,0.513,2,22.83157894736842,22.878947368421056,0.1105263157894737,0.3,1.041229547004878,0.9511868865773876,2.2307059749132896,1.4485281374238492,-0.026074619024069476,-0.9873420010218018,0.15644771414441896,0.5844363398087852,0.2731194840674302,0.5462389681348604,0.2623047769370981,9.000768581067069,80.87402376549865,1.4941349619630893,yz,137.1052703857422,2605.0,150.0
ch20_URA7_URA8_001_hyperstack_crop_01,13,5,29,0.7829999999999999,3,22.551724137931025,22.220689655172414,0.23793103448275857,0.6,1.2337195353680406,1.24756200957878,2.979095366337626,3.491339647976093,-0.1681947694090912,-0.9843256566361491,0.053042635975569574,0.5318913555189266,0.3160524522960499,0.6321049045920998,0.2561785261848559,3.0405460873665575,79.84216348112554,9.682875694213614,xy,137.9310302734375,4000.0,149.0
ch20_URA7_URA8_001_hyperstack_crop_01,14,5,8,0.216,2,23.099999999999998,22.349999999999998,0.15,0.3,1.0000000000000024,0.9000000000000021,0.9000000000000021,0.9000000000000021,0.0,1.0,0.0,0.8333333333333339,0.15,0.3,0.14999999999999963,0.0,90.0,0.0,yz,137.5,1100.0,143.0
ch20_URA7_URA8_001_hyperstack_crop_01,15,5,27,0.7289999999999999,4,23.177777777777777,23.13333333333333,0.35555555555555557,0.8999999999999999,1.3673662179061683,1.367551810666046,1.7527667393082764,2.2339383340488257,0.2500932343832121,0.8184799426019056,-0.5172465153813266,0.6364238263316515,0.2911093757127748,0.5822187514255496,0.21289788492694162,31.14773376600663,54.932918389224824,14.483029382987489,yz,138.48147583007812,3739.0,165.0
ch20_URA7_URA8_001_hyperstack_crop_01,16,5,81,2.187,4,22.599999999999998,23.785185185185185,0.337037037037037,0.8999999999999999,1.7778098758827863,1.995955030049735,4.66777556040169,4.590264896472981,0.033271767059185414,-0.9534269504142581,0.29978332131812685,0.5258461349634662,0.47220323565581346,0.9444064713116269,0.2656095244275415,17.444589369079885,72.44482825410242,1.9066837263143006,yz,134.20986938476562,10871.0,149.0
ch20_URA7_URA8_001_hyperstack_crop_01,17,5,61,1.647,4,22.34754098360656,24.865573770491807,0.34918032786885234,0.8999999999999999,1.4410524152841573,1.5943253088421279,2.0034192965158604,2.4300401578686492,0.29988841473855327,0.8411942715838127,-0.44995459344268995,0.47946733216080434,0.4327131597814579,0.8654263195629158,0.30027579510085506,26.740770750421454,57.2664474474788,17.450901179875046,yz,135.1311492919922,8243.0,151.0
ch20_URA7_URA8_001_hyperstack_crop_01,18,5,17,0.4589999999999999,3,22.53529411764706,24.564705882352943,0.17647058823529413,0.6,0.9428090415820626,0.848528137423857,0.996627589562096,1.0242640687119273,-0.7071067811865576,-0.7071067811865377,1.4016565685892597e-15,0.46788990825688076,0.26879199197166714,0.5375839839433343,0.28509696037770904,8.030900570695378e-14,44.999999999999204,45.00000000000082,xy,136.2941131591797,2317.0,149.0
ch20_URA7_URA8_001_hyperstack_crop_01,19,5,7,0.189,2,22.714285714285715,24.214285714285715,0.08571428571428572,0.3,0.6044729068548038,0.6318513688653278,1.091687530129407,0.9354101966249664,-0.15448783630654425,-0.9758416966222776,0.15448783630654242,0.567042599342412,0.1870562125816427,0.3741124251632854,0.30945342704428963,8.887093655336347,77.38029908966053,8.887093655336454,xy,135.85714721679688,951.0,146.0
ch20_URA7_URA8_001_hyperstack_crop_01,20,5,48,1.2959999999999998,3,22.0125,23.825,0.26875,0.6,1.5897364001967047,1.889635182962913,3.3987219897510172,2.3485281374238567,-0.7784145066622425,-0.6247362920532632,0.061444456294426464,0.5828304064296987,0.38080877199380053,0.7616175439876011,0.239542085056794,3.5227270256150303,38.662834608342386,51.115637478529855,xy,131.8958282470703,6331.0,141.0
ch20_URA7_URA8_001_hyperstack_crop_01,21,5,44,1.1879999999999997,3,22.424999999999997,23.754545454545454,0.2454545454545454,0.6,1.56535670763429,1.7096745753383615,2.63721214769021,2.6118096247055056,-0.27290820965821566,0.9253270198706449,-0.26323186622910744,0.6329920160269213,0.35017098411544273,0.7003419682308855,0.22370043991101113,15.261916435243236,67.71771855523839,15.8373958222787,xy,133.7954559326172,5887.0,150.0
ch20_URA7_URA8_001_hyperstack_crop_01,22,5,36,0.9719999999999999,2,21.841666666666665,23.78333333333333,0.10833333333333332,0.3,1.9034934577748177,2.1096430675840807,4.107949195387027,4.5722160801375225,-0.776512992239528,0.6299157194831924,-0.015289186740533688,0.7705950666336613,0.3258763063968205,0.651752612793641,0.17119906825304756,0.8760400050870956,39.04390474625824,50.94240775167242,xy,132.27777099609375,4762.0,150.0
ch20_URA7_URA8_001_hyperstack_crop_01,23,5,24,0.6479999999999999,2,22.412499999999998,23.2375,0.13749999999999998,0.3,1.1494940333389634,1.0701271118568014,1.1338695241001937,2.521475504186298,-0.6764726289912107,0.7364522065547431,-0.004788495209354121,0.5536089378989542,0.2975079457463667,0.5950158914927334,0.2588164332460153,0.27436161422571104,47.43006851243646,42.56861296998549,xy,134.2916717529297,3223.0,147.0
ch20_URA7_URA8_001_hyperstack_crop_01,33,5,1,0.027,1,22.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,xy,128.0,128.0,128.0
ch20_URA7_URA8_001_hyperstack_crop_01,35,5,21,0.567,2,21.842857142857138,23.714285714285715,0.17142857142857137,0.3,1.0290457792227112,1.1003460180613804,1.8997779641469852,2.109674265336899,-0.8626429810989618,-0.4992083943712515,0.08147432816521548,0.5000232012857811,0.2976026186534253,0.5952052373068506,0.28920250649900064,4.673315195968582,29.947641597976453,59.61464455629848,xy,131.14285278320312,2754.0,146.0
ch20_URA7_URA8_001_hyperstack_crop_02,3,1,7,0.189,1,20.699999999999996,16.5,0.0,0.0,0.8013876853447556,0.8485281374238591,0.8485281374238591,0.8485281374238591,0.7071067811865476,0.7071067811865476,0.0,0.75,0.160356745147455,0.32071349029491,0.20009883865194383,0.0,45.00000000000001,45.00000000000001,xy,196.85714721679688,1378.0,207.0
ch20_URA7_URA8_001_hyperstack_crop_02,5,1,186,5.021999999999999,4,21.109677419354842,15.303225806451614,0.3048387096774194,0.8999999999999999,3.1261836169575523,3.6931668173230285,7.476472744019913,7.622751114143042,0.8100483049562499,0.5317893245636106,-0.247026026802208,0.5222154268357961,0.8210692897047437,1.6421385794094874,0.2626426948343554,14.301597289074,32.126432184223134,54.100651209619464,xy,185.81719970703125,34562.0,227.0
ch20_URA7_URA8_001_hyperstack_crop_02,6,1,87,2.3489999999999998,4,21.32758620689655,15.382758620689655,0.282758620689655,0.8999999999999999,2.8613647896985728,3.255151745908025,5.781084630007628,10.487481017740672,-0.9350574313922254,-0.23156284899991753,0.26841431959047,0.7760698712412721,0.4430481528907949,0.8860963057815898,0.1548380529759253,15.56993139494235,13.389100674110209,69.2374253730229,xz,190.01148986816406,16531.0,227.0
ch20_URA7_URA8_001_hyperstack_crop_02,7,1,128,3.456,4,21.01171875,15.513281250000002,0.28125,0.8999999999999999,3.1354351562586076,3.413757622012275,12.05718521643601,7.57345003451312,-0.9809843050855159,-0.006422349663170402,0.19398078925680085,0.6400434021837204,0.7051466469801861,1.4102932939603723,0.22489594325452741,11.185190292691631,0.367976059911864,78.80860192996794,xz,181.046875,23174.0,215.0
ch20_URA7_URA8_001_hyperstack_crop_02,9,1,27,0.7289999999999999,2,21.177777777777777,15.711111111111112,0.044444444444444446,0.3,2.4450271995803154,2.5748949975458473,3.82867019567591,3.4970562748477163,-0.8495100034050819,0.5272826602634496,-0.017485717034124208,0.9147592891646763,0.23370322248931988,0.46740644497863976,0.09558307675654268,1.0019088478941058,31.82203831811399,58.158414588196464,xy,196.48147583007812,5305.0,229.0
ch20_URA7_URA8_001_hyperstack_crop_02,11,1,145,3.9149999999999996,4,20.74758620689655,16.03862068965517,0.3806896551724137,0.8999999999999999,3.043993599237356,3.97316922210807,12.348731758945046,12.17162435932256,-0.9764089787552948,0.11376899945479933,0.18352689440269032,0.7290469811501824,0.5415586149723751,1.0831172299447502,0.17791056298806196,10.575259239989313,6.532627922397402,77.52994108060624,xz,188.30345153808594,27304.0,230.0
ch20_URA7_URA8_001_hyperstack_crop_02,12,1,87,2.3489999999999998,4,21.382758620689653,15.920689655172408,0.1517241379310345,0.8999999999999999,2.7836767652547816,3.02030491169664,5.156749457361827,6.25623472500971,-0.49625657254832134,0.8678861895164807,-0.02242713198686666,0.699724444618385,0.5236381640844081,1.0472763281688162,0.18811026144282994,1.285087752889568,60.213922539543105,29.752644333949092,xy,189.3563232421875,16474.0,212.0
ch20_URA7_URA8_001_hyperstack_crop_02,13,1,102,2.754,3,22.073529411764703,13.685294117647059,0.23235294117647068,0.6,3.3557965552887206,3.7226462570557355,8.334555192509475,11.532823623736624,-0.23638175980316786,-0.9691082530568823,0.0703765407603641,0.8406330162080786,0.42932318149561444,0.8586463629912289,0.12793480606534474,4.03561475321484,75.72147782280658,13.673086784743449,xy,181.0490264892578,18467.0,209.0
ch20_URA7_URA8_001_hyperstack_crop_02,14,1,165,4.455,4,22.06,14.99090909090909,0.2709090909090908,0.8999999999999999,3.189411439071498,3.509131880128712,6.104920272951205,7.097755258407659,-0.2522149295390048,0.9639075522913979,-0.08526347373430898,0.7196825456554812,0.5734034564663287,1.1468069129326575,0.1797834702170812,4.891175805024081,74.55952140315277,14.608619102281484,xy,184.80606079101562,30493.0,218.0
ch20_URA7_URA8_001_hyperstack_crop_02,15,1,215,5.804999999999999,5,21.799534883720934,16.27813953488372,0.40883720930232575,1.2,3.0092792909750137,3.6091417745691974,10.207850874443704,5.842522833577707,-0.9556278074213178,0.15249245463482416,0.2520348090295683,0.596300778825128,0.679347842412438,1.358695684824876,0.22575101103105907,14.597954431994603,8.7713956859118,72.86783754762696,xz,183.8930206298828,39537.0,227.0
ch20_URA7_URA8_001_hyperstack_crop_02,16,1,221,5.966999999999999,5,21.327149321266965,17.05656108597285,0.43167420814479646,1.2,3.099028285644676,3.804171010093933,5.247761809240099,9.787801079281776,-0.8486728227945881,0.5015404549154636,0.16796312670659475,0.6170531934065562,0.6662088703903914,1.332417740780783,0.21497347199972497,9.669412004292482,30.101968116687942,58.06761036984214,xy,181.2443389892578,40055.0,220.0
ch20_URA7_URA8_001_hyperstack_crop_02,17,1,212,5.723999999999999,5,21.213679245283014,17.797641509433962,0.44575471698113206,1.2,2.5990303670743273,2.9820937529202824,11.52036933528829,7.618530128678894,0.7139440470841996,-0.7000513744973229,-0.014559213489858221,0.5045189506752832,0.7091725619671418,1.4183451239342837,0.2728604370888679,0.8342109591488105,44.4311259292,45.55672670034238,xy,180.39622497558594,38244.0,214.0
ch20_URA7_URA8_001_hyperstack_crop_02,18,1,100,2.6999999999999997,4,21.195,18.12,0.25199999999999995,0.8999999999999999,2.7160808902003453,3.40286818418239,4.810517406040775,6.4257421764262155,-0.8612138723990502,0.5051814327090719,0.05569906671966689,0.7534844138480712,0.45036193814953857,0.9007238762990771,0.16581315371513794,3.192973872318345,30.343397010388657,59.45315082923356,xy,183.4199981689453,18342.0,225.0
ch20_URA7_URA8_001_hyperstack_crop_02,19,1,210,5.669999999999999,4,21.408571428571424,17.13714285714286,0.27999999999999997,0.8999999999999999,3.24224403618346,4.328270659684815,9.031931522150472,9.827190057916114,-0.2667022341887657,0.9564964269833052,-0.11825609264173899,0.5889544852756724,0.7606428860544183,1.5212857721088366,0.23460383535774598,6.791467401215592,73.03760193150774,15.468124399310703,xy,177.24285888671875,37221.0,214.0
ch20_URA7_URA8_001_hyperstack_crop_02,20,1,132,3.564,4,21.047727272727276,16.82045454545454,0.30681818181818177,0.8999999999999999,3.0347713267765823,3.7573208291748488,10.124500396237455,8.219820796770929,-0.21922186867148769,0.9656899961613606,-0.13922860198268344,0.651565821646626,0.5947558165539115,1.189511633107823,0.19598043889047756,8.003211238432149,74.94788182480046,12.663333720046042,xy,184.13636779785156,24306.0,215.0
ch20_URA7_URA8_001_hyperstack_crop_02,21,1,251,6.777,4,21.349003984063746,15.742231075697212,0.2784860557768924,0.8999999999999999,4.409425556594222,4.855591734416877,6.9762095918886144,12.758616517732685,-0.3786088224282278,0.9240030597613004,-0.05360695040072065,0.7188779740815108,0.7959851779161929,1.5919703558323859,0.18051901947313986,3.0729249907015648,67.51850184643958,22.24753650851529,xy,174.2350616455078,43733.0,204.0
ch20_URA7_URA8_001_hyperstack_crop_02,22,1,152,4.104,4,21.517105263157895,15.282236842105263,0.3473684210526316,0.8999999999999999,2.8747157470585734,3.376642817064942,4.614129903230902,11.102729549093624,-0.5529901881130361,-0.8100774770174004,0.19487517307197488,0.6429081398198303,0.5811011487920114,1.1622022975840227,0.20214212462105083,11.237431644946767,54.10350182092926,33.57239520547248,xy,176.9144744873047,26891.0,207.0
ch20_URA7_URA8_001_hyperstack_crop_02,23,1,172,4.644,4,21.549418604651162,15.28953488372093,0.3122093023255814,0.8999999999999999,2.728067647298426,3.1125941306898905,10.380453882838525,9.41851803861887,-0.1604507323809758,0.9866662740073177,-0.027298831750193885,0.5802249049344261,0.6685080219777632,1.3370160439555263,0.24504818369873596,1.5643021791293894,80.63307288526012,9.233059299677763,xy,179.0058135986328,30789.0,213.0
ch20_URA7_URA8_001_hyperstack_crop_02,24,1,126,3.4019999999999992,4,21.509523809523806,15.338095238095235,0.28571428571428564,0.8999999999999999,2.582789580655947,2.8505505310918346,11.43401434895361,8.553177661576738,-0.9686703337368765,-0.09317514854120951,0.23020898382211746,0.6252438526262197,0.5451491294844774,1.0902982589689547,0.2110698965054779,13.309375806239592,5.346297624237287,75.62009746647819,xz,177.63491821289062,22382.0,206.0
