frame,filament_id,size_px,length_px,z,y,x
26,3,7,9.0,0.14285714285714285,63.42857142857143,60.57142857142857
27,3,55,12.94,0.45454545454545453,62.54545454545455,57.18181818181818
28,3,57,13.11,0.38596491228070173,63.0,62.35087719298246
29,3,34,8.34,0.5882352941176471,61.970588235294116,62.26470588235294
30,3,38,9.86,0.21052631578947367,62.921052631578945,57.81578947368421
31,3,64,11.58,0.3125,61.40625,60.265625
32,3,33,8.33,0.45454545454545453,59.60606060606061,58.515151515151516
33,3,28,7.18,0.9285714285714286,56.892857142857146,59.17857142857143
34,3,33,8.49,0.9393939393939394,58.24242424242424,58.333333333333336
35,3,45,10.0,0.7777777777777778,60.15555555555556,59.0
36,3,48,11.06,0.6666666666666666,63.416666666666664,60.375
37,3,60,14.51,0.6,65.11666666666666,59.733333333333334
38,3,63,14.76,0.4444444444444444,64.46031746031746,57.93650793650794
39,3,54,13.0,0.6666666666666666,62.77777777777778,57.44444444444444
40,3,43,12.4,0.3023255813953488,60.93023255813954,60.18604651162791
41,3,42,11.82,0.5714285714285714,58.54761904761905,60.54761904761905
42,3,46,10.92,0.8260869565217391,59.369565217391305,60.97826086956522
43,3,40,11.27,0.575,58.5,61.0
44,3,25,6.83,0.36,60.24,62.12
45,3,47,12.8,0.7446808510638298,62.87234042553192,58.723404255319146
46,3,60,14.33,0.8333333333333334,64.61666666666666,58.81666666666667
47,3,56,14.24,0.7321428571428571,64.55357142857143,57.80357142857143
48,3,56,13.83,0.6785714285714286,63.57142857142857,55.69642857142857
49,3,49,13.51,0.4489795918367347,61.69387755102041,57.69387755102041
