frame,filament_id,size_px,length_px,z,y,x
3,2,25,6.26,0.8,60.8,65.24
4,2,25,7.13,0.68,56.88,68.0
5,2,14,4.37,0.2857142857142857,57.285714285714285,68.5
6,2,18,5.57,0.3888888888888889,58.388888888888886,68.77777777777777
7,2,19,6.09,0.5263157894736842,57.473684210526315,67.57894736842105
8,2,6,3.35,0.16666666666666666,57.666666666666664,67.16666666666667
9,2,13,6.18,0.38461538461538464,57.76923076923077,67.07692307692308
10,2,11,4.84,0.6363636363636364,56.36363636363637,68.63636363636364
11,2,17,6.36,0.47058823529411764,58.705882352941174,67.52941176470588
12,2,18,8.22,0.0,57.833333333333336,67.33333333333333
