frame,filament_id,size_px,length_px,z,y,x
3,2,67,15.76,0.6567164179104478,53.17910447761194,54.134328358208954
4,2,31,8.59,0.5806451612903226,55.32258064516129,47.70967741935484
5,2,68,13.91,0.6764705882352942,48.01470588235294,48.61764705882353
6,2,74,13.85,0.972972972972973,55.9054054054054,55.7027027027027
7,2,77,13.75,1.0909090909090908,55.03896103896104,51.506493506493506
8,2,70,12.99,1.3428571428571427,54.31428571428572,51.52857142857143
30,2,24,11.48,0.375,51.5,50.375
31,2,19,5.89,0.6842105263157895,48.8421052631579,51.26315789473684
32,2,95,16.74,0.8842105263157894,49.21052631578947,49.85263157894737
