frame,filament_id,size_px,length_px,z,y,x
18,5,10,5.15,0.2,82.3,61.4
25,5,6,3.35,0.0,88.33333333333333,57.833333333333336
26,2,11,5.44,0.7272727272727273,57.45454545454545,52.63636363636363
27,2,21,7.01,0.14285714285714285,57.333333333333336,54.285714285714285
28,2,33,7.62,0.30303030303030304,55.42424242424242,56.03030303030303
29,2,42,9.52,0.8095238095238095,56.30952380952381,51.833333333333336
30,2,36,17.09,0.5833333333333334,55.27777777777778,53.666666666666664
31,2,64,13.66,0.40625,56.515625,58.28125
32,2,52,10.43,0.5384615384615384,55.98076923076923,57.84615384615385
33,2,35,11.9,0.8857142857142857,55.82857142857143,59.371428571428574
34,2,45,9.32,0.5111111111111111,55.08888888888889,59.53333333333333
35,2,50,10.89,0.64,58.92,59.7
36,2,48,11.37,0.75,61.354166666666664,58.875
37,2,85,15.11,0.8588235294117647,62.188235294117646,60.141176470588235
38,2,63,13.66,0.6666666666666666,63.25396825396825,57.74603174603175
39,2,56,12.18,0.8035714285714286,60.839285714285715,57.892857142857146
40,2,58,11.61,0.6724137931034483,59.05172413793103,59.86206896551724
41,2,58,12.56,0.603448275862069,58.46551724137931,60.55172413793103
42,2,64,12.27,0.8125,58.15625,61.734375
43,2,60,12.65,0.6666666666666666,58.43333333333333,61.016666666666666
44,2,67,12.63,0.6865671641791045,59.44776119402985,61.19402985074627
45,2,71,13.01,0.647887323943662,62.87323943661972,58.63380281690141
46,2,59,11.44,0.711864406779661,64.98305084745763,58.25423728813559
47,2,65,12.41,0.6307692307692307,64.43076923076923,57.84615384615385
48,2,74,14.39,0.7432432432432432,64.8108108108108,55.270270270270274
49,2,66,13.75,0.6363636363636364,61.90909090909091,58.196969696969695
