frame,filament_id,size_px,length_px,z,y,x
1,1,15,4.78,0.26666666666666666,42.13333333333333,69.53333333333333
3,1,36,18.03,0.4722222222222222,41.833333333333336,63.80555555555556
4,1,29,7.5,1.0,39.62068965517241,65.79310344827586
5,1,20,5.27,1.8,41.25,62.75
6,1,25,6.26,1.68,41.2,66.24
6,3,13,5.11,0.46153846153846156,57.61538461538461,75.46153846153847
7,1,17,5.66,0.8235294117647058,41.88235294117647,60.529411764705884
7,3,21,7.07,0.6190476190476191,57.19047619047619,74.19047619047619
8,1,26,7.07,1.8461538461538463,43.0,63.5
8,3,17,5.87,0.35294117647058826,57.588235294117645,73.94117647058823
9,1,18,5.7,1.4444444444444444,38.0,62.5
9,3,24,6.78,0.6666666666666666,56.416666666666664,73.58333333333333
10,1,9,3.46,1.0,41.0,60.0
10,3,8,3.7,0.25,56.125,73.875
11,1,18,5.7,0.8888888888888888,42.0,61.5
11,3,7,3.27,0.7142857142857143,57.285714285714285,73.0
12,1,18,5.7,0.4444444444444444,43.5,61.0
12,3,13,4.5,0.38461538461538464,55.61538461538461,74.61538461538461
13,1,20,6.39,0.65,41.05,59.9
13,3,16,5.84,0.6875,54.8125,73.625
14,1,14,5.38,0.8571428571428571,41.285714285714285,60.92857142857143
14,3,12,4.61,0.5,55.583333333333336,74.75
15,1,13,4.5,1.2307692307692308,44.61538461538461,60.61538461538461
15,3,11,4.56,0.36363636363636365,57.90909090909091,74.63636363636364
16,1,16,5.16,1.125,46.75,59.4375
16,3,18,5.7,1.0,60.5,73.0
17,3,16,5.0,0.5,62.375,72.75
18,3,6,4.0,0.6666666666666666,61.333333333333336,72.66666666666667
19,1,18,6.02,0.2222222222222222,49.833333333333336,62.111111111111114
19,3,9,4.0,0.7777777777777778,60.77777777777778,75.44444444444444
23,1,8,3.7,0.0,45.125,68.125
27,3,8,4.16,0.0,80.25,67.75
41,2,10,4.79,0.0,49.2,48.3
