frame,filament_id,size_px,length_px,z,y,x
3,5,12,10.27,0.5,62.5,67.33333333333333
4,5,27,8.77,1.4444444444444444,63.44444444444444,64.85185185185185
5,5,83,16.45,1.0602409638554218,63.397590361445786,71.49397590361446
6,5,31,7.81,0.7741935483870968,64.61290322580645,69.03225806451613
7,5,39,9.24,1.1538461538461537,65.23076923076923,65.8974358974359
8,5,66,14.98,0.5,60.96969696969697,68.83333333333333
9,5,48,13.54,0.6875,67.14583333333333,66.6875
10,5,20,21.82,0.5,62.95,71.35
11,5,8,3.7,0.25,59.125,72.125
14,5,9,8.9,1.8888888888888888,57.22222222222222,66.22222222222223
15,5,28,8.18,1.0714285714285714,61.17857142857143,66.14285714285714
16,5,22,16.21,0.7727272727272727,63.36363636363637,65.68181818181819
20,5,28,9.16,0.17857142857142858,62.107142857142854,72.14285714285714
21,5,42,13.32,0.47619047619047616,61.11904761904762,74.73809523809524
22,5,37,9.03,0.6756756756756757,61.45945945945946,76.75675675675676
23,5,59,10.53,0.9152542372881356,62.25423728813559,71.89830508474576
24,5,45,16.86,0.8222222222222222,61.84444444444444,69.77777777777777
25,5,36,16.36,0.3333333333333333,63.77777777777778,71.0
26,5,30,7.48,0.6666666666666666,64.73333333333333,74.03333333333333
27,5,30,7.08,0.9333333333333333,65.63333333333334,70.96666666666667
28,5,43,10.9,0.3023255813953488,65.83720930232558,65.62790697674419
30,5,17,7.42,0.29411764705882354,64.23529411764706,65.58823529411765
31,5,36,9.01,0.9722222222222222,61.69444444444444,69.58333333333333
32,2,17,6.26,0.29411764705882354,49.588235294117645,84.6470588235294
32,5,31,8.1,1.1612903225806452,60.483870967741936,69.25806451612904
33,2,51,11.51,0.43137254901960786,50.94117647058823,90.25490196078431
33,5,58,9.59,1.0689655172413792,61.53448275862069,70.13793103448276
34,2,37,10.49,0.40540540540540543,48.108108108108105,87.56756756756756
34,5,29,7.23,0.8275862068965517,60.10344827586207,71.17241379310344
35,2,49,12.8,0.5714285714285714,48.183673469387756,86.93877551020408
35,5,14,5.21,1.4285714285714286,61.785714285714285,69.28571428571429
36,2,63,12.39,0.5079365079365079,55.888888888888886,86.2063492063492
36,5,16,5.84,1.5,63.8125,69.375
37,2,42,11.18,0.5714285714285714,58.642857142857146,86.92857142857143
37,5,24,6.44,1.0,66.0,70.5
38,2,50,12.38,0.58,57.72,85.66
38,5,41,9.38,0.8292682926829268,65.02439024390245,68.48780487804878
39,2,42,11.09,0.40476190476190477,57.904761904761905,83.97619047619048
39,5,43,9.05,1.1395348837209303,64.74418604651163,67.02325581395348
40,2,19,6.32,0.3684210526315789,56.578947368421055,88.3157894736842
40,5,57,12.69,1.0350877192982457,61.85964912280702,68.0
41,2,69,15.63,0.5217391304347826,52.971014492753625,87.07246376811594
41,5,46,12.12,0.8260869565217391,60.08695652173913,69.95652173913044
42,2,55,14.89,0.41818181818181815,53.127272727272725,86.9090909090909
42,5,21,5.22,0.8571428571428571,60.0,72.0
43,2,59,15.84,0.4915254237288136,52.03389830508475,86.32203389830508
43,5,29,7.09,0.9310344827586207,58.689655172413794,71.41379310344827
44,2,42,12.05,0.16666666666666666,54.142857142857146,88.57142857142857
44,5,39,8.39,0.8717948717948718,59.94871794871795,70.82051282051282
45,2,40,13.7,0.45,56.925,84.45
45,5,47,9.22,0.9787234042553191,63.93617021276596,67.25531914893617
46,2,34,11.88,0.17647058823529413,58.970588235294116,85.0
46,5,27,6.85,0.7407407407407407,65.48148148148148,66.5925925925926
47,5,44,9.31,0.8636363636363636,64.43181818181819,64.20454545454545
48,5,38,8.76,1.1842105263157894,63.78947368421053,62.05263157894737
49,5,39,8.23,0.8205128205128205,61.12820512820513,64.15384615384616
